credit_history,amount,employment,residence_since,age,housing,job,telephone,foreign_worker,marital_status,sex,credit_risk
0,3652,4,4,1,1,1,1,1,0,1,1
1,9629,2,2,0,1,1,0,1,1,0,0
0,2096,3,3,1,1,0,0,1,0,1,1
1,7882,3,4,1,0,1,0,1,0,1,1
0,4870,2,4,1,0,1,0,1,0,0,1
1,9055,2,4,1,0,0,1,1,0,1,1
1,2835,4,4,1,1,0,0,1,0,1,1
1,6948,2,2,1,0,2,1,1,0,1,1
1,3059,3,4,1,1,0,0,1,1,1,1
0,5234,0,2,1,1,0,0,1,1,0,1
1,1295,1,1,0,0,1,0,1,1,0,0
1,4308,1,4,1,0,1,0,1,1,0,0
1,1567,2,1,0,1,1,1,1,1,1,0
0,1199,4,4,1,1,0,0,1,0,0,1
1,1403,2,4,1,0,1,0,1,1,1,0
1,1282,2,2,1,0,1,0,1,1,0,0
0,2424,4,4,1,1,1,0,1,0,1,1
1,3378,1,3,0,1,1,0,1,0,1,1
1,12579,4,2,1,0,2,1,1,1,0,0
1,3430,4,2,1,1,1,1,1,0,1,1
0,2134,2,4,1,1,1,1,1,0,1,1
1,2647,2,3,1,0,1,0,1,0,1,1
0,2241,1,3,1,0,0,0,0,0,1,1
1,1804,1,4,1,1,1,0,1,0,1,1
0,2069,2,1,1,1,1,0,0,1,1,1
0,1374,2,2,1,1,0,1,1,0,1,1
1,426,4,4,1,1,0,0,1,1,1,1
1,409,2,2,1,0,1,1,1,0,1,0
1,2415,2,2,1,1,1,0,1,0,1,1
0,6314,4,4,1,1,1,1,1,0,0,1
1,1913,1,3,1,1,1,1,1,0,1,1
1,4020,2,2,1,1,1,0,1,0,1,1
1,5943,2,2,1,1,1,1,1,0,1,1
0,1264,4,4,1,0,0,0,1,0,1,1
1,1474,1,1,1,1,1,1,1,0,1,0
0,4746,1,2,0,0,0,0,1,0,0,1
0,6110,2,3,1,0,1,1,1,0,1,1
1,2100,2,2,1,1,1,0,1,0,0,1
1,1225,2,4,1,1,1,1,1,0,1,1
1,1835,2,3,0,1,1,0,1,0,1,1
1,2333,4,2,1,1,2,0,1,0,1,1
1,1158,2,1,1,1,1,1,1,1,1,1
0,6204,2,4,1,1,0,1,1,0,1,1
0,6187,3,4,0,0,1,0,1,1,1,1
0,6143,4,4,1,0,2,0,1,1,0,0
0,1393,1,4,1,1,2,0,1,1,1,0
1,2299,4,4,1,1,1,0,1,0,1,1
1,1352,0,2,0,0,1,1,1,1,1,0
0,7228,2,4,1,1,0,0,1,0,1,1
1,2073,2,2,1,1,1,0,1,1,1,0
0,2333,1,2,1,1,0,0,1,0,1,1
0,5965,4,2,1,1,2,1,1,0,1,1
1,1262,3,2,1,1,1,0,1,0,1,1
1,3378,2,1,1,1,1,1,1,0,1,1
0,5096,4,4,1,0,1,1,1,0,0,1
1,783,2,2,1,1,0,0,1,0,1,1
1,6468,0,1,1,1,2,1,1,0,0,1
0,9566,2,2,1,1,1,0,1,1,1,0
1,1503,4,4,0,1,2,0,1,1,1,0
0,6229,1,4,0,0,0,1,1,1,0,0
1,1391,2,1,1,1,1,1,1,1,1,1
0,1537,2,4,1,1,1,1,1,0,1,1
1,1953,4,4,1,0,2,1,1,0,0,1
1,14421,2,2,0,1,1,1,1,0,0,1
1,3181,1,3,1,1,1,1,1,1,1,0
1,5190,4,4,1,1,1,1,1,0,1,1
1,2171,1,2,1,1,1,1,1,1,1,0
1,3448,2,1,0,1,1,0,1,1,1,1
1,1819,2,4,1,0,1,1,1,0,0,1
1,2394,3,4,1,1,1,0,1,1,1,0
1,8133,2,2,1,1,1,0,1,1,1,0
0,730,3,2,1,0,0,0,1,0,1,1
0,1164,4,4,1,0,2,1,1,0,1,1
0,5954,3,1,1,1,0,0,1,1,1,0
1,1977,4,4,1,1,1,1,1,0,0,1
0,1526,4,4,1,0,2,0,1,0,1,1
1,3965,1,3,1,1,1,0,1,0,0,1
0,4771,4,4,1,1,1,0,1,0,1,1
1,9436,2,2,1,1,0,0,1,0,1,1
1,674,1,1,0,1,1,0,1,1,1,1
1,5943,1,1,1,1,2,1,1,1,0,0
1,1213,4,3,1,1,1,1,1,0,1,1
1,1568,2,4,0,0,0,0,1,1,1,0
1,1755,0,4,1,1,0,1,1,1,1,0
1,2315,4,4,1,1,0,0,1,0,1,1
0,1412,2,2,1,1,2,1,1,1,1,0
0,1295,1,1,1,1,1,0,1,1,1,0
1,12612,2,4,1,0,1,1,1,0,0,1
1,2249,3,3,1,1,2,1,1,0,1,1
1,1108,3,3,1,1,1,0,1,0,0,1
0,618,4,4,1,1,1,0,1,0,1,1
0,1409,4,3,1,1,1,1,1,0,1,1
0,797,4,3,1,1,0,0,1,1,0,0
0,3617,4,4,0,0,1,0,1,0,1,1
1,1318,4,4,1,1,1,1,1,0,1,1
1,15945,1,4,1,0,1,1,1,0,0,1
0,2012,3,2,1,1,1,0,1,1,1,0
1,2622,2,4,1,1,1,0,1,0,1,1
0,2337,4,4,1,1,1,0,1,0,1,1
0,7057,3,4,1,0,2,0,1,0,1,1
0,1469,4,4,1,0,0,0,1,1,1,1
1,2323,3,4,0,0,1,0,1,0,1,1
0,932,2,2,0,1,1,0,1,1,1,0
0,1919,3,3,1,0,1,1,1,0,1,1
1,2445,1,4,1,0,1,1,1,1,1,1
0,11938,2,3,1,1,2,1,1,0,0,1
1,6458,4,4,1,1,2,1,1,0,0,1
1,6078,2,2,1,1,1,0,1,0,1,1
1,7721,1,2,1,1,1,1,0,1,1,0
1,1410,4,2,1,1,1,1,1,1,1,1
0,1449,4,2,1,1,1,0,1,1,1,1
0,392,1,4,0,0,1,1,1,1,1,0
1,6260,3,3,1,0,0,0,1,0,1,1
0,7855,2,4,0,1,1,1,1,0,0,0
1,1680,4,1,1,1,1,0,1,1,1,1
0,3578,4,1,1,1,1,0,1,0,1,1
1,7174,3,3,0,0,2,1,1,1,0,0
0,2132,1,3,1,0,1,0,0,1,1,0
1,4281,2,4,0,1,1,0,1,1,0,0
0,2366,3,3,1,1,2,1,1,1,1,1
1,1835,2,2,0,1,1,1,1,1,0,0
0,3868,4,2,1,0,1,1,1,1,1,0
1,1768,2,2,0,1,0,0,1,0,1,1
0,781,4,4,1,0,1,1,1,0,1,1
1,1924,1,4,1,0,1,0,1,1,0,0
0,2121,2,2,1,1,1,0,1,0,1,1
1,701,2,2,1,1,0,0,1,1,1,1
1,639,2,2,1,1,1,0,1,0,0,1
0,1860,0,2,1,1,2,1,1,0,1,1
0,3499,2,2,1,1,1,0,1,1,0,0
1,8487,3,2,0,1,1,0,1,1,1,0
0,6887,2,3,1,1,1,0,1,0,0,1
1,2708,1,3,1,1,0,0,1,0,1,1
1,1984,2,4,1,0,1,1,1,0,1,1
1,10144,3,4,1,1,0,1,1,1,1,0
0,1240,4,2,1,1,1,1,1,1,1,0
0,8613,2,2,1,1,1,0,1,0,1,1
1,3609,2,3,1,1,0,0,1,0,0,1
0,2728,3,2,1,1,1,1,1,0,1,1
1,1881,2,2,0,1,0,1,1,1,1,0
1,709,1,2,1,1,0,0,0,1,1,1
1,4795,1,1,1,1,1,1,1,1,1,0
1,3416,2,2,1,1,0,0,1,0,1,1
1,2462,2,2,0,1,1,0,1,0,0,1
1,2288,1,4,0,1,1,1,1,0,1,0
1,3566,3,2,1,1,1,0,1,0,1,1
0,860,4,4,1,1,1,1,1,1,1,0
0,682,3,3,1,1,2,1,1,1,1,0
0,5371,2,4,1,1,1,0,1,0,1,1
0,11760,4,4,1,1,1,0,1,0,1,1
1,1346,1,4,1,0,1,1,1,0,1,1
1,1924,2,2,1,1,1,1,0,0,1,1
1,5848,2,1,0,1,1,0,1,0,1,1
0,7758,4,4,1,0,1,0,1,1,1,0
0,6967,3,4,1,0,2,1,1,0,1,1
1,1282,2,4,0,0,1,0,1,1,0,0
0,1288,4,4,1,1,1,0,0,0,1,1
1,339,4,1,1,1,0,0,1,1,1,1
1,3512,3,3,1,1,1,1,1,0,1,1
0,1898,2,2,1,1,1,0,1,0,1,1
1,2872,4,2,1,1,1,1,1,0,1,1
0,1055,1,1,1,1,1,0,1,1,1,0
1,1262,3,3,1,1,1,1,1,0,1,1
1,7308,0,4,1,0,2,1,1,0,1,1
1,909,4,4,1,1,1,0,1,0,1,1
1,2978,2,2,1,1,1,1,1,0,1,1
1,1131,0,2,1,1,1,0,1,1,0,0
1,1577,1,1,0,0,1,0,1,1,1,0
1,3972,3,4,0,0,1,1,1,1,1,0
0,1935,4,4,1,0,1,0,1,1,0,1
1,950,4,3,1,0,1,0,1,0,0,1
1,763,2,1,1,1,1,1,1,1,1,0
0,2064,0,2,1,1,1,1,1,1,0,0
1,1414,2,2,0,1,1,0,0,0,1,1
0,3414,1,1,1,0,2,0,1,0,0,1
1,7485,0,1,1,0,2,0,1,1,0,0
1,2577,2,1,1,1,1,0,1,1,1,1
0,338,4,4,1,1,1,0,1,0,1,1
1,1963,3,2,1,0,2,1,1,0,1,1
0,571,4,4,1,1,1,0,0,0,1,1
0,9572,1,1,1,1,1,0,1,1,0,1
0,4455,2,2,1,1,2,1,1,1,0,1
1,1647,2,2,1,1,1,0,1,0,0,1
0,3777,2,4,1,1,1,1,1,0,1,1
0,884,4,4,1,1,1,1,1,0,0,1
0,640,2,2,1,1,1,0,1,0,1,1
1,5129,4,4,1,0,2,1,1,1,0,0
0,1175,0,3,1,0,1,1,1,0,1,1
1,674,3,1,0,1,1,0,1,1,0,1
1,3244,2,4,1,1,0,1,1,1,1,0
1,4591,2,3,1,1,1,1,1,0,0,1
1,3844,3,4,1,0,0,0,1,0,0,1
1,3915,2,2,1,1,1,1,1,0,0,1
1,2108,3,2,1,0,1,0,1,1,1,1
1,3031,2,4,0,0,1,0,1,0,0,1
0,1501,4,3,1,1,2,1,1,1,0,0
0,1965,2,1,1,1,1,0,1,1,1,0
1,951,1,4,1,0,1,0,1,1,0,0
1,2760,4,4,1,0,1,1,1,0,1,1
0,4297,4,3,1,1,2,1,1,1,0,1
0,936,4,2,1,1,1,1,1,0,1,1
1,1168,2,3,1,1,0,0,1,1,1,1
0,5117,3,4,1,1,1,0,1,0,1,1
1,902,3,4,0,0,1,0,1,1,0,1
0,1495,4,1,1,1,0,0,1,0,1,1
0,10623,4,4,1,0,2,1,1,0,1,1
0,1935,4,4,1,1,1,1,1,0,1,1
0,1424,3,3,1,1,1,0,1,0,1,1
1,6568,4,2,0,1,0,0,1,1,1,1
1,1413,3,2,1,1,2,0,0,0,1,1
0,3074,2,2,1,0,1,0,1,0,1,1
1,3835,4,4,1,1,0,1,1,1,1,0
1,5293,0,4,1,1,1,1,1,0,0,1
0,1908,4,4,1,1,2,1,1,0,0,1
0,3342,4,2,1,0,1,1,1,0,1,1
0,932,3,3,1,1,0,0,1,1,1,0
1,3104,3,1,1,1,1,1,1,0,1,1
1,3913,2,2,0,1,1,1,1,0,1,1
1,3021,2,2,0,0,0,0,1,1,1,1
1,1364,2,4,1,1,1,1,1,1,1,0
1,625,1,1,1,1,0,0,1,1,1,1
1,1200,2,4,0,0,1,1,1,1,1,0
1,707,2,2,1,1,1,0,1,0,1,1
0,2978,2,4,1,1,1,1,1,0,1,1
1,4657,2,2,1,1,0,1,1,0,1,1
1,2613,2,2,1,1,1,0,1,0,1,1
1,10961,3,2,1,1,1,1,1,0,0,1
1,7865,4,4,1,0,2,1,1,0,0,1
1,1478,3,2,0,1,1,0,1,0,0,1
1,3149,1,1,0,0,1,0,1,0,1,1
1,4210,2,2,1,1,1,0,1,0,0,1
1,2507,3,4,1,0,0,0,1,0,1,1
1,2141,3,1,1,1,1,0,1,0,1,1
1,866,2,2,1,1,0,0,1,1,1,1
0,1544,3,1,1,1,0,0,1,1,1,1
1,2028,0,2,1,1,2,0,1,0,0,1
1,14555,0,2,0,1,0,1,1,0,0,1
1,2767,4,2,1,0,0,0,1,1,0,1
0,585,2,2,1,1,1,0,1,1,1,0
1,2522,4,3,1,1,1,0,1,0,1,1
1,915,4,2,1,1,1,1,1,1,0,0
1,1595,3,2,1,1,1,0,1,0,1,1
1,4605,4,3,0,0,1,0,1,0,0,1
0,1185,2,2,1,1,1,0,1,1,1,0
1,3447,2,3,1,1,0,0,1,1,1,0
1,1258,4,1,0,1,1,1,1,0,1,1
0,717,4,4,1,1,1,0,1,0,1,1
1,1204,2,1,1,0,1,0,0,0,1,1
1,1925,2,2,1,1,1,0,1,0,1,1
1,433,0,4,0,0,1,0,1,1,0,0
0,666,3,4,1,1,0,1,1,1,1,0
1,2251,2,2,1,1,0,0,1,1,1,0
1,2150,2,4,0,1,1,0,1,1,0,0
0,4151,2,3,1,1,1,0,1,0,1,1
1,2030,3,1,0,1,1,1,1,0,1,1
0,7418,2,1,1,1,0,0,1,0,1,1
0,2684,2,2,1,1,0,0,1,0,1,1
1,2149,2,1,1,0,1,0,1,1,0,1
1,3812,1,4,0,1,1,1,1,1,1,0
0,1154,0,4,1,1,0,0,1,1,1,0
1,1657,2,2,1,1,1,0,1,0,1,1
1,1603,4,4,1,1,1,0,1,1,1,0
0,5302,4,4,1,0,2,1,1,0,1,1
0,2748,4,4,1,0,0,0,1,1,1,0
0,1231,4,4,1,1,0,0,0,0,1,1
1,802,4,3,1,1,1,0,1,0,0,1
0,6304,4,4,1,1,1,0,1,0,1,1
1,12612,1,3,1,1,1,1,1,1,1,0
1,8978,2,4,1,1,2,1,0,1,0,1
1,999,4,2,0,1,1,0,1,0,1,1
1,2662,3,3,1,1,2,0,0,0,1,1
0,1402,3,4,1,0,1,1,1,1,1,0
1,12169,0,4,1,0,2,1,1,1,1,1
1,3060,3,4,1,1,1,0,1,0,0,1
1,11998,1,1,1,1,0,1,1,1,0,1
1,2697,2,2,1,1,1,0,1,0,1,1
0,2404,2,2,1,1,1,0,1,1,1,0
1,5804,4,4,1,1,0,1,1,1,1,1
1,4611,1,4,1,1,1,0,1,1,0,0
1,1901,2,4,1,0,2,1,1,0,1,1
0,3368,4,4,0,0,1,1,1,0,1,1
1,1574,2,2,1,1,1,0,1,0,1,1
1,1445,3,4,1,1,0,0,1,0,1,1
0,1520,4,4,1,1,1,0,1,0,1,1
0,3878,1,2,1,1,1,1,1,1,1,1
1,10722,1,4,1,1,0,1,1,1,1,0
1,368,3,3,1,1,1,0,1,0,1,1
0,7582,0,4,1,0,2,1,1,0,1,1
1,1092,2,4,1,1,1,1,1,1,1,0
0,1024,1,3,1,1,1,0,1,1,0,1
1,1076,2,2,1,1,1,1,0,1,1,1
1,9398,1,2,1,0,2,1,1,1,0,1
0,6419,4,4,1,0,2,1,1,1,1,0
0,4796,4,4,1,0,1,0,1,0,1,1
0,7629,4,2,1,1,1,0,1,1,1,1
1,9960,1,2,1,1,1,1,1,1,0,0
1,4675,1,4,0,0,1,0,1,1,1,0
1,1287,4,2,1,1,0,0,0,0,1,1
1,2515,2,4,1,1,1,1,1,0,1,1
0,2745,3,2,1,1,1,1,1,0,1,1
1,672,0,4,1,1,0,1,1,1,1,0
1,3804,2,1,1,1,1,1,1,1,0,0
0,1344,3,2,1,1,0,0,1,0,0,1
0,1038,2,3,1,1,1,1,1,0,1,1
0,10127,2,2,1,0,1,0,1,0,0,1
1,1543,2,2,1,1,1,0,1,1,1,1
1,4811,4,4,0,0,0,0,1,1,1,0
1,727,1,3,1,1,0,1,1,1,0,1
1,1237,2,4,0,1,1,0,1,1,0,0
1,2775,2,4,0,0,0,0,1,1,1,1
1,5381,0,4,1,0,1,1,1,0,1,1
1,5511,2,1,0,1,1,0,1,0,1,1
1,3441,1,4,1,0,1,0,1,1,1,0
1,685,3,3,0,1,0,0,1,1,0,1
1,1494,1,2,1,1,0,0,0,0,1,1
1,1355,4,4,1,1,1,0,1,0,0,1
1,708,2,3,1,1,0,0,1,0,1,1
1,4351,2,4,1,1,0,1,1,1,1,0
0,701,2,3,1,1,1,0,1,0,1,1
0,3643,4,4,1,1,0,0,1,1,1,0
0,4249,0,2,1,1,2,0,1,1,0,1
1,1938,1,3,1,1,1,0,1,1,0,1
1,2910,3,1,1,0,1,1,1,0,1,1
1,2659,2,2,1,1,1,0,1,0,1,1
0,1028,2,3,1,1,1,0,1,1,1,0
0,3398,1,4,1,1,0,0,0,0,1,1
0,4795,4,4,1,0,1,1,1,0,1,1
1,1525,3,3,1,1,1,1,1,1,1,0
1,4473,4,2,1,1,1,0,1,0,1,1
1,1068,4,4,1,1,1,0,1,0,1,1
0,6615,0,4,1,0,2,1,1,0,1,1
0,1864,2,2,1,1,1,0,1,1,0,0
1,7408,1,2,0,1,2,0,1,1,0,0
0,11590,2,4,0,0,0,0,1,1,0,0
1,4110,4,4,0,0,1,0,1,0,0,1
0,3384,2,4,1,0,2,0,1,1,0,1
1,2101,1,4,0,1,0,0,1,1,1,0
1,1275,2,2,0,0,1,0,1,1,0,0
1,4169,2,4,1,1,1,0,1,0,1,1
1,1521,2,2,1,1,0,0,1,1,1,1
0,5743,3,4,0,0,1,1,1,1,1,0
1,3599,3,4,1,0,0,0,1,1,1,0
1,3213,1,3,0,0,1,0,1,1,1,1
1,4439,4,1,1,1,2,1,1,0,1,1
1,3949,1,1,1,1,0,0,1,1,1,1
0,1459,2,2,1,1,0,0,1,0,1,0
0,882,1,4,1,1,1,0,1,0,1,1
1,3758,0,4,0,0,0,0,1,1,1,0
1,1743,2,2,1,1,0,0,1,0,1,1
0,1136,4,3,1,0,1,0,1,0,0,1
1,1236,1,4,0,0,1,1,1,1,1,0
1,959,2,2,1,1,1,0,0,1,0,0
0,3229,0,4,1,1,2,1,1,0,1,1
1,6199,2,3,1,0,1,1,1,0,0,1
1,727,4,4,1,0,1,1,1,0,1,1
1,1246,1,2,0,1,0,0,1,0,0,1
0,2331,4,4,1,1,1,1,1,0,1,1
0,4463,2,2,1,1,2,1,1,0,0,1
1,776,2,2,0,1,1,0,1,1,1,1
1,2406,3,4,0,0,1,0,1,1,0,0
1,1239,2,4,1,0,1,0,1,0,1,1
1,3399,4,3,1,1,2,0,1,0,1,1
0,2247,2,2,1,1,1,1,1,0,1,0
0,1766,2,2,1,0,0,0,1,1,1,1
1,2473,0,1,0,1,0,0,1,0,0,1
1,1542,3,4,1,1,1,1,1,0,1,1
0,3850,3,1,1,1,1,0,1,0,1,1
1,3650,1,4,0,0,1,0,1,1,1,0
1,3446,4,2,1,1,1,0,1,0,0,1
1,3001,3,4,1,0,1,0,1,1,1,0
0,3079,2,4,1,1,1,0,1,0,1,1
0,6070,4,4,1,1,1,1,1,0,1,1
0,2146,1,3,0,0,1,0,1,1,1,0
0,13756,4,4,1,0,2,1,1,0,1,1
1,4675,4,4,1,0,2,1,1,1,0,0
1,7685,3,4,1,0,1,0,1,1,0,0
0,2320,0,3,1,1,1,0,1,1,1,1
0,846,4,4,1,0,1,0,1,0,1,1
1,14318,4,2,1,0,2,1,1,0,0,1
0,362,2,4,1,1,0,0,1,1,1,0
1,1445,3,4,1,1,1,1,1,0,1,1
1,12976,0,4,1,0,2,1,1,1,0,0
1,1283,2,4,0,0,1,0,1,1,1,0
1,1330,1,1,1,1,1,0,1,0,1,1
0,4272,2,2,1,1,0,0,1,0,1,1
0,2238,2,1,0,1,2,0,1,1,1,0
1,1264,1,2,0,0,1,1,1,1,1,0
0,7374,0,4,1,1,2,1,1,0,1,1
0,2326,2,4,1,1,1,0,1,0,1,1
1,1449,3,2,1,1,1,0,1,1,1,0
0,1820,2,2,1,1,2,1,1,1,1,1
1,1887,3,4,0,0,0,1,1,1,1,0
1,3249,3,4,1,0,2,1,1,0,1,1
0,1957,3,4,1,1,1,0,1,0,1,0
0,2406,0,3,1,1,2,0,1,0,1,1
0,11760,3,3,1,0,1,1,1,0,1,1
1,2670,0,4,1,0,2,0,1,1,1,0
0,2348,2,2,1,1,1,1,1,1,1,1
1,1223,4,1,1,0,1,0,1,1,0,1
1,1516,2,1,1,1,0,0,1,1,1,0
1,1473,1,4,1,1,1,1,1,1,1,1
0,1887,2,4,1,1,1,0,1,1,1,1
0,8648,1,2,1,1,1,1,1,0,0,1
0,802,2,2,1,1,0,0,1,0,1,1
0,1484,4,4,1,1,1,0,1,0,1,1
1,2039,1,1,0,1,1,1,1,1,0,1
0,2197,3,1,1,1,1,1,1,0,1,1
1,1053,1,2,1,1,1,0,0,1,1,1
1,3235,4,2,1,1,2,1,1,1,1,1
1,939,3,2,1,1,1,1,1,1,0,1
1,1967,4,4,0,1,1,1,1,1,1,0
0,7253,3,2,1,1,2,1,1,0,1,1
0,2292,0,2,1,1,2,1,1,0,0,1
1,1597,2,2,1,0,0,0,0,0,1,1
1,1381,2,2,1,1,1,0,1,1,0,0
0,5842,4,2,1,1,1,1,1,0,1,1
1,2579,1,1,1,1,0,0,1,0,0,1
0,8471,2,2,1,0,1,1,1,1,1,0
1,2782,3,2,1,1,2,0,1,1,1,0
1,1042,2,2,1,1,1,0,1,1,0,0
0,3186,3,3,0,0,1,0,1,1,1,0
1,2028,2,4,1,1,1,0,1,0,1,1
0,2210,3,3,1,1,0,0,1,0,1,1
0,1591,3,3,1,1,2,0,1,0,1,1
1,2762,4,4,0,1,1,1,1,1,0,0
1,2779,2,3,0,0,1,1,1,1,1,1
0,2743,4,2,1,1,1,0,1,0,1,1
0,1149,2,3,1,1,1,0,1,0,1,1
1,1313,4,4,0,1,1,0,1,0,1,1
0,1190,0,4,1,0,0,0,1,1,0,0
1,3448,3,4,1,1,0,0,1,0,1,1
1,11328,1,4,1,1,2,1,1,1,0,1
0,1872,0,4,1,0,2,1,1,0,1,1
0,2058,2,4,1,1,1,1,1,1,1,1
1,2136,2,2,0,1,1,0,1,0,1,1
1,1484,2,1,0,1,1,1,1,1,0,1
1,660,3,4,0,0,2,0,1,1,1,1
0,1287,4,4,1,1,1,1,1,1,1,0
0,3394,0,4,1,1,0,0,1,0,1,1
1,609,1,1,1,1,0,0,1,1,0,0
1,1884,4,4,1,1,2,1,1,0,1,1
1,1620,2,3,1,1,1,0,1,0,1,0
0,1525,2,3,1,1,1,1,1,0,1,1
1,719,4,4,1,1,0,0,1,0,0,1
0,5096,2,3,1,1,2,1,1,1,0,0
0,1244,4,4,1,0,0,0,1,1,1,0
1,1842,1,4,1,1,1,1,1,1,0,0
1,745,2,2,1,1,1,0,1,0,1,1
1,1424,4,4,1,1,2,1,1,1,1,0
0,1512,2,3,1,1,1,0,1,1,0,1
0,11054,2,2,1,1,2,1,1,0,1,1
1,518,2,1,0,1,1,0,1,1,1,0
1,2759,4,4,1,1,1,0,1,0,1,1
1,2670,4,4,1,1,2,1,1,0,1,1
1,4817,3,3,1,1,1,1,1,0,0,1
0,2679,1,1,1,1,1,1,1,1,1,0
0,3905,2,2,1,0,1,0,1,0,1,1
1,3386,4,4,1,0,1,1,1,0,0,1
1,343,1,1,1,1,1,0,1,1,1,0
1,4594,1,2,1,1,1,1,1,0,1,1
1,3620,2,2,1,1,1,0,1,0,1,1
1,1721,1,3,1,1,1,0,1,0,1,1
1,2611,1,4,1,0,2,0,1,1,1,0
1,754,4,4,1,1,1,0,1,0,1,1
1,1950,3,1,1,1,1,1,1,0,1,1
1,2924,2,4,1,0,1,1,1,0,1,1
0,1659,1,2,1,0,0,1,1,1,0,0
0,7238,4,3,1,1,1,0,1,0,1,1
0,2764,2,2,1,1,1,1,1,1,1,0
0,4679,3,3,0,1,1,1,1,0,1,1
1,3092,1,2,0,0,1,1,1,1,0,1
1,448,1,4,0,1,1,0,1,1,0,0
1,654,2,3,1,1,0,0,1,0,0,1
1,7174,0,4,1,1,2,1,1,0,1,1
0,1245,2,2,1,0,1,0,1,1,0,1
1,3114,1,4,1,0,1,0,1,1,0,0
1,2569,2,4,0,1,1,0,1,0,1,1
1,3595,3,2,0,1,1,0,1,0,1,1
1,1037,3,1,1,1,0,0,1,0,1,1
0,1478,4,4,1,1,1,1,1,0,1,1
0,3573,2,1,1,1,0,0,1,1,1,0
1,1201,1,1,1,1,1,0,1,0,1,1
1,3622,4,4,1,0,1,1,1,1,1,0
0,960,3,2,1,1,1,0,1,1,1,0
0,1163,2,4,1,1,1,1,1,0,1,1
0,10477,0,4,1,1,2,1,1,0,0,1
1,3077,1,4,1,1,1,1,1,0,1,1
1,3757,4,4,1,0,1,1,1,1,1,0
1,1418,2,2,1,0,0,1,0,0,1,1
0,3518,2,3,1,0,1,0,1,0,1,1
0,1934,4,2,1,1,1,0,1,0,1,1
1,8318,4,4,1,0,2,1,1,1,0,0
0,1237,2,1,1,1,1,0,1,1,1,0
1,368,4,4,1,1,1,0,1,0,1,1
0,2122,2,4,1,0,0,0,0,0,1,1
1,2996,2,4,0,1,1,0,1,1,0,1
1,9034,1,1,1,1,2,1,1,0,0,1
0,1585,3,3,1,1,1,0,1,0,1,1
