,status,duration,credit_history,purpose,amount,savings,employment,installment_rate,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_risk,sex,marital_status
198,A14,42,A32,A41,2760,A61,A75,4,A101,4,A121,1,A143,A153,1,A174,1,A192,A201,0,1,0
199,A12,18,A33,A42,4297,A61,A75,4,A101,3,A124,1,A143,A152,1,A174,1,A192,A201,0,1,1
200,A14,6,A32,A46,936,A61,A75,4,A101,2,A121,1,A142,A152,2,A173,1,A192,A201,0,1,0
201,A11,12,A32,A40,1168,A61,A73,4,A101,3,A121,1,A143,A152,1,A172,1,A191,A201,1,1,1
202,A14,9,A32,A49,5117,A61,A74,2,A101,4,A123,1,A143,A152,2,A173,1,A191,A201,0,1,0
203,A11,12,A32,A48,902,A61,A74,4,A101,4,A122,0,A143,A151,1,A173,1,A191,A201,0,1,1
204,A14,12,A34,A40,1495,A61,A75,4,A101,1,A121,1,A143,A152,2,A172,2,A191,A201,1,1,0
205,A11,21,A34,A41,10623,A61,A75,2,A101,4,A123,1,A143,A153,3,A174,2,A192,A201,0,1,0
206,A11,12,A32,A42,1935,A61,A75,4,A101,4,A121,1,A143,A152,3,A173,1,A192,A201,0,1,0
207,A14,15,A32,A44,1424,A61,A74,4,A101,3,A124,1,A143,A152,1,A174,1,A191,A201,0,1,0
208,A11,24,A32,A49,6568,A61,A73,2,A101,2,A123,0,A142,A152,1,A172,1,A191,A201,1,1,1
209,A14,12,A32,A41,1413,A62,A74,4,A101,2,A123,1,A141,A152,1,A173,1,A191,A202,0,1,0
210,A14,9,A34,A43,3074,A65,A73,1,A101,2,A121,1,A143,A152,2,A173,2,A191,A201,1,1,0
211,A14,36,A32,A43,3835,A65,A75,2,A101,4,A121,1,A143,A152,1,A172,1,A192,A201,1,0,1
212,A11,27,A30,A49,5293,A61,A71,2,A101,4,A122,1,A142,A152,2,A173,1,A192,A201,0,1,0
213,A13,30,A33,A49,1908,A61,A75,4,A101,4,A121,1,A143,A152,1,A174,1,A192,A201,0,1,0
214,A13,48,A32,A43,3342,A65,A75,1,A101,2,A121,1,A143,A152,1,A172,1,A192,A201,0,1,0
215,A14,36,A32,A48,932,A65,A74,1,A101,3,A123,1,A143,A152,2,A173,1,A191,A201,0,0,1
216,A11,18,A30,A49,3104,A61,A74,3,A101,1,A122,1,A141,A152,1,A173,1,A192,A201,1,1,0
217,A13,36,A32,A43,3913,A61,A73,2,A101,2,A121,0,A143,A152,1,A173,1,A192,A201,1,1,0
218,A11,24,A32,A42,3021,A61,A73,2,A101,2,A121,0,A143,A151,1,A172,1,A191,A201,1,1,1
219,A14,10,A32,A40,1364,A61,A73,2,A101,4,A123,1,A143,A152,1,A173,1,A192,A201,1,0,1
220,A12,24,A32,A43,625,A61,A72,2,A103,1,A123,1,A143,A152,1,A173,1,A191,A201,0,1,1
221,A11,12,A32,A46,1200,A65,A73,4,A101,4,A122,0,A141,A151,1,A173,1,A192,A201,1,0,1
222,A14,24,A34,A43,707,A62,A73,3,A101,2,A124,1,A143,A152,2,A174,1,A191,A201,0,1,0
223,A14,24,A33,A49,2978,A65,A73,4,A101,4,A121,1,A143,A152,2,A173,2,A192,A201,1,1,0
224,A13,6,A33,A41,4657,A64,A73,1,A101,2,A123,1,A143,A152,1,A173,1,A192,A201,0,1,0
225,A14,36,A30,A45,2613,A61,A73,4,A101,2,A123,1,A143,A152,2,A173,1,A191,A201,1,1,0
226,A12,48,A32,A43,10961,A64,A74,1,A102,2,A124,1,A141,A152,2,A173,1,A192,A201,0,1,0
227,A11,12,A32,A42,7865,A61,A75,4,A101,4,A124,1,A143,A153,1,A174,1,A192,A201,0,1,0
228,A14,9,A32,A43,1478,A61,A74,4,A101,2,A123,0,A143,A152,1,A173,1,A191,A201,0,1,0
229,A11,24,A32,A42,3149,A61,A72,4,A101,1,A124,0,A141,A153,1,A173,1,A191,A201,1,1,0
230,A13,36,A32,A43,4210,A61,A73,4,A101,2,A123,1,A143,A152,1,A173,1,A191,A201,0,1,0
231,A14,9,A32,A40,2507,A63,A75,2,A101,4,A124,1,A143,A153,1,A172,1,A191,A201,1,1,0
232,A12,9,A32,A43,2141,A61,A74,1,A101,1,A123,1,A143,A152,1,A173,1,A191,A201,0,1,0
233,A12,18,A32,A43,866,A61,A73,4,A103,2,A121,0,A143,A152,1,A172,1,A191,A201,1,1,1
234,A13,12,A30,A43,1544,A62,A74,1,A101,1,A121,1,A141,A152,3,A174,2,A191,A201,0,1,0
235,A11,24,A32,A43,1823,A61,A71,4,A101,2,A123,1,A142,A152,1,A174,2,A191,A201,0,1,0
236,A12,6,A32,A40,14555,A65,A71,1,A101,2,A122,0,A143,A152,1,A171,1,A192,A201,0,1,0
237,A12,21,A32,A49,2767,A62,A75,4,A101,2,A123,1,A141,A151,2,A172,1,A191,A201,0,1,1
238,A14,12,A34,A43,1291,A61,A73,4,A101,2,A122,1,A143,A152,2,A173,1,A191,A201,1,0,1
239,A14,18,A34,A43,2522,A61,A75,3,A103,3,A122,1,A143,A152,1,A173,2,A191,A201,0,1,0
240,A11,24,A32,A40,915,A65,A75,4,A101,2,A123,1,A141,A152,1,A173,1,A191,A201,0,0,1
241,A14,6,A32,A43,1595,A61,A74,3,A101,2,A122,1,A143,A152,1,A173,2,A191,A201,1,1,0
242,A11,48,A30,A41,4605,A61,A75,3,A101,4,A124,0,A143,A153,2,A173,2,A191,A201,0,1,0
243,A14,12,A34,A49,1185,A61,A73,3,A101,2,A121,1,A143,A152,2,A173,1,A191,A201,1,0,1
244,A14,27,A31,A48,3447,A65,A73,4,A101,3,A123,1,A143,A152,1,A173,2,A191,A201,0,0,1
245,A14,24,A32,A49,1258,A61,A74,4,A101,1,A121,0,A143,A152,1,A173,1,A192,A201,1,1,0
246,A14,12,A34,A43,717,A61,A75,4,A101,4,A121,1,A143,A152,3,A173,1,A191,A201,1,1,0
247,A14,6,A30,A40,1204,A62,A73,4,A101,1,A124,1,A141,A151,1,A173,1,A191,A202,1,1,0
248,A11,15,A34,A42,1925,A61,A73,4,A101,2,A123,1,A143,A152,1,A173,1,A191,A201,0,1,0
249,A14,18,A32,A43,433,A61,A71,3,A102,4,A121,0,A143,A151,1,A173,1,A191,A201,0,0,1
250,A14,18,A32,A40,666,A61,A74,4,A101,4,A123,1,A143,A152,2,A173,1,A192,A201,0,0,1
251,A13,12,A32,A42,2251,A61,A73,1,A101,2,A123,1,A143,A152,1,A172,1,A191,A201,1,0,1
252,A12,30,A32,A40,2150,A61,A73,4,A103,2,A124,0,A141,A152,1,A173,1,A191,A201,0,0,1
253,A14,18,A34,A42,4151,A61,A73,1,A101,3,A121,1,A143,A152,2,A173,1,A191,A201,0,1,0
254,A12,9,A32,A42,2030,A65,A74,2,A101,1,A123,0,A143,A152,1,A173,1,A192,A201,1,1,0
255,A12,60,A33,A43,7418,A65,A73,1,A101,1,A121,1,A143,A152,1,A172,1,A191,A201,1,1,0
256,A14,24,A34,A43,2684,A61,A73,4,A101,2,A121,1,A143,A152,2,A172,1,A191,A201,1,1,0
257,A11,12,A31,A43,2149,A61,A73,4,A101,1,A124,1,A143,A153,1,A173,1,A191,A201,0,1,1
258,A14,15,A32,A41,3812,A62,A72,1,A101,4,A123,0,A143,A152,1,A173,1,A192,A201,1,0,1
259,A14,11,A34,A43,1154,A62,A71,4,A101,4,A121,1,A143,A152,3,A172,1,A191,A201,1,0,1
260,A14,15,A32,A42,1657,A61,A73,1,A101,2,A123,1,A143,A152,1,A172,1,A191,A201,0,1,0
261,A14,24,A34,A43,1603,A61,A75,3,A101,4,A121,1,A143,A152,1,A173,1,A191,A201,0,0,1
262,A14,12,A34,A40,5302,A63,A75,3,A101,4,A122,1,A143,A153,3,A174,1,A192,A201,0,1,0
263,A14,24,A34,A46,2748,A65,A75,4,A101,4,A123,1,A143,A153,3,A174,1,A191,A201,0,0,1
264,A14,10,A34,A40,1231,A61,A75,3,A101,4,A121,1,A143,A152,2,A172,2,A191,A202,1,1,0
265,A12,15,A32,A43,802,A61,A75,4,A101,3,A123,1,A143,A152,1,A173,2,A191,A201,0,1,0
266,A14,36,A34,A49,6304,A65,A75,4,A101,4,A121,1,A143,A152,2,A173,1,A191,A201,1,1,0
267,A14,24,A32,A43,1533,A61,A72,4,A101,3,A123,1,A142,A152,1,A173,1,A192,A201,1,0,1
268,A11,14,A32,A40,8978,A61,A75,1,A101,4,A122,1,A143,A152,1,A174,1,A192,A202,0,1,1
269,A14,24,A32,A43,999,A65,A75,4,A101,2,A123,0,A143,A152,2,A173,1,A191,A201,1,1,0
270,A13,24,A32,A40,2662,A62,A74,4,A101,3,A121,1,A141,A152,1,A172,1,A191,A202,0,1,0
271,A11,8,A32,A42,1402,A61,A74,4,A101,4,A123,1,A143,A151,1,A173,1,A192,A201,0,0,1
272,A12,48,A31,A40,12169,A65,A71,4,A102,4,A124,1,A143,A153,1,A174,1,A192,A201,1,1,0
273,A12,48,A32,A43,3060,A61,A74,4,A101,4,A121,1,A143,A152,2,A173,1,A191,A201,0,1,0
274,A11,30,A32,A45,11998,A61,A72,1,A101,1,A124,1,A143,A152,1,A172,1,A192,A201,0,1,1
275,A12,6,A34,A43,2697,A61,A73,4,A101,2,A123,1,A143,A152,1,A173,2,A191,A201,0,1,0
276,A11,6,A33,A43,2404,A61,A73,4,A101,2,A121,1,A143,A152,2,A173,1,A191,A201,0,0,1
277,A11,12,A32,A42,1262,A65,A75,2,A101,4,A122,1,A143,A152,1,A172,1,A192,A201,1,1,1
278,A14,6,A32,A42,4611,A61,A72,1,A101,4,A122,1,A143,A152,1,A173,1,A191,A201,0,0,1
279,A12,10,A32,A43,1901,A61,A73,4,A101,4,A121,1,A143,A151,1,A173,1,A192,A201,0,1,0
280,A14,15,A34,A41,3368,A64,A75,3,A101,4,A124,0,A143,A151,2,A173,1,A192,A201,1,1,0
281,A14,12,A32,A42,1574,A61,A73,4,A101,2,A121,1,A143,A152,1,A173,1,A191,A201,1,1,0
282,A13,18,A31,A43,1445,A65,A74,4,A101,4,A123,1,A141,A152,1,A172,1,A191,A201,1,1,0
283,A14,15,A34,A42,1520,A65,A75,4,A101,4,A122,1,A143,A152,1,A173,1,A191,A201,1,1,0
284,A11,7,A32,A40,3878,A61,A72,2,A101,2,A123,1,A141,A152,1,A173,1,A192,A201,0,1,1
285,A11,12,A33,A40,10722,A65,A72,4,A101,1,A121,1,A142,A152,1,A173,1,A192,A201,0,0,1
286,A12,14,A30,A41,4788,A61,A74,2,A101,3,A121,1,A141,A152,1,A173,2,A191,A201,0,1,0
287,A14,48,A33,A410,7582,A61,A71,4,A101,4,A123,1,A143,A153,1,A173,1,A192,A201,0,1,0
288,A14,30,A32,A43,1092,A62,A73,3,A103,4,A123,1,A143,A152,2,A174,1,A192,A201,0,0,1
289,A11,24,A33,A43,1024,A61,A72,4,A101,4,A121,1,A142,A152,1,A173,1,A191,A201,0,1,1
290,A12,36,A32,A49,1076,A61,A73,1,A101,2,A121,1,A143,A152,1,A174,1,A192,A202,0,1,1
291,A12,36,A32,A41,9398,A61,A72,1,A101,4,A123,1,A143,A151,1,A174,1,A192,A201,0,1,1
292,A11,15,A32,A41,6419,A61,A75,2,A101,4,A123,1,A143,A153,2,A174,2,A192,A201,0,0,1
293,A13,42,A34,A41,4796,A61,A75,4,A101,4,A124,1,A143,A153,1,A173,1,A191,A201,1,1,0
294,A14,48,A34,A49,7629,A65,A75,4,A101,2,A123,1,A141,A152,2,A174,2,A191,A201,1,1,1
295,A12,48,A32,A42,9960,A61,A72,1,A101,2,A123,1,A143,A152,1,A173,1,A192,A201,0,0,1
296,A14,12,A32,A41,4675,A65,A72,1,A101,4,A123,0,A143,A151,1,A173,1,A191,A201,1,0,1
297,A14,10,A32,A40,1287,A65,A75,4,A102,2,A122,1,A143,A152,1,A172,1,A191,A202,1,1,0
298,A14,18,A32,A42,2515,A61,A73,3,A101,4,A121,1,A143,A152,1,A173,1,A192,A201,1,1,0
299,A12,21,A34,A42,2745,A64,A74,3,A101,2,A123,1,A143,A152,2,A173,1,A192,A201,1,1,0
300,A11,36,A32,A40,672,A62,A71,1,A101,4,A124,1,A143,A152,1,A173,1,A192,A201,0,0,1
301,A12,36,A30,A43,3804,A61,A73,4,A101,1,A123,1,A143,A152,1,A173,1,A192,A201,0,0,1
302,A13,24,A34,A40,1344,A65,A74,4,A101,2,A121,1,A141,A152,2,A172,2,A191,A201,0,1,0
303,A12,36,A32,A40,1038,A61,A74,2,A102,3,A124,1,A141,A152,2,A173,1,A192,A201,0,1,0
304,A14,48,A34,A40,10127,A63,A73,2,A101,2,A124,1,A141,A153,1,A173,1,A191,A201,0,1,0
305,A14,6,A32,A42,1543,A64,A73,4,A101,2,A121,1,A143,A152,1,A173,1,A191,A201,1,1,1
306,A14,30,A32,A41,4811,A65,A74,2,A101,4,A122,0,A142,A151,1,A172,1,A191,A201,1,0,1
307,A11,12,A32,A43,727,A62,A72,4,A101,3,A124,1,A143,A152,1,A172,1,A192,A201,0,1,1
308,A12,8,A32,A42,1237,A61,A73,3,A101,4,A121,0,A143,A152,1,A173,1,A191,A201,0,0,1
309,A12,9,A32,A40,276,A61,A73,4,A101,4,A121,0,A143,A151,1,A172,1,A191,A201,1,1,1
310,A12,48,A32,A410,5381,A65,A71,3,A101,4,A124,1,A141,A153,1,A171,1,A192,A201,1,1,0
311,A14,24,A32,A42,5511,A62,A73,4,A101,1,A123,0,A142,A152,1,A173,1,A191,A201,1,1,0
312,A13,24,A32,A42,3749,A61,A72,2,A101,4,A123,1,A143,A152,1,A173,1,A191,A201,1,0,1
313,A12,12,A32,A40,685,A61,A74,2,A101,3,A123,0,A141,A152,1,A172,1,A191,A201,0,1,1
314,A12,30,A32,A40,1494,A61,A72,4,A101,2,A121,1,A143,A152,1,A173,2,A191,A202,0,1,0
315,A11,36,A31,A42,2746,A61,A75,4,A101,4,A123,1,A141,A152,1,A173,1,A191,A201,0,1,0
316,A14,24,A32,A42,708,A61,A73,1,A103,3,A124,1,A142,A152,1,A173,2,A191,A201,0,1,0
317,A12,6,A32,A42,4351,A65,A73,1,A101,4,A122,1,A141,A152,1,A171,1,A192,A201,0,0,1
318,A11,18,A32,A46,701,A65,A73,3,A101,2,A123,1,A143,A152,2,A172,1,A191,A201,0,1,0
319,A14,24,A34,A42,3643,A62,A75,2,A101,4,A124,1,A143,A152,2,A174,1,A191,A201,0,0,1
320,A12,30,A34,A40,4249,A61,A71,4,A101,2,A123,1,A143,A152,2,A174,1,A191,A201,0,1,1
321,A11,24,A32,A43,1938,A61,A72,4,A101,3,A122,1,A143,A152,1,A173,1,A191,A201,0,1,1
322,A11,24,A32,A41,2910,A61,A74,2,A101,1,A124,1,A143,A153,1,A174,1,A192,A201,1,1,0
323,A14,36,A30,A42,2659,A62,A73,3,A101,2,A121,1,A143,A152,1,A174,1,A191,A201,0,1,0
324,A13,24,A34,A40,1028,A61,A73,2,A101,3,A123,1,A143,A152,2,A173,1,A191,A201,0,0,1
325,A11,8,A34,A40,3398,A61,A74,1,A101,4,A121,1,A143,A152,2,A172,1,A191,A202,1,1,0
326,A14,12,A34,A42,5801,A65,A75,2,A101,4,A122,1,A143,A151,1,A173,1,A192,A201,1,1,0
327,A14,36,A32,A40,1525,A61,A74,4,A101,3,A122,1,A143,A152,1,A174,2,A192,A201,0,0,1
328,A13,36,A32,A43,4473,A61,A75,4,A101,2,A123,1,A143,A152,1,A173,1,A191,A201,1,1,0
329,A14,18,A32,A43,1068,A61,A75,4,A101,4,A123,1,A143,A152,1,A172,2,A191,A201,0,1,0
330,A12,36,A34,A41,6615,A61,A71,4,A101,4,A124,1,A143,A153,2,A173,1,A192,A201,0,1,0
331,A14,18,A34,A46,1864,A62,A73,4,A101,2,A121,1,A143,A152,2,A173,1,A191,A201,0,0,1
332,A12,60,A32,A40,7408,A62,A72,4,A101,2,A122,0,A143,A152,1,A174,1,A191,A201,0,0,1
333,A14,48,A34,A41,11590,A62,A73,2,A101,4,A123,0,A141,A151,2,A172,1,A191,A201,0,0,1
334,A11,24,A30,A42,4110,A61,A75,3,A101,4,A124,0,A141,A151,2,A173,2,A191,A201,0,1,0
335,A11,6,A34,A42,3384,A61,A73,1,A101,4,A121,1,A143,A151,1,A174,1,A192,A201,0,1,1
336,A12,13,A32,A43,2101,A61,A72,2,A103,4,A122,0,A143,A152,1,A172,1,A191,A201,1,0,1
337,A11,15,A32,A44,1275,A65,A73,4,A101,2,A123,0,A143,A151,1,A173,1,A191,A201,0,0,1
338,A12,24,A31,A42,4169,A61,A73,4,A101,4,A122,1,A142,A152,1,A173,1,A191,A201,0,1,0
339,A12,10,A32,A42,1521,A61,A73,4,A101,2,A123,1,A143,A152,1,A172,1,A191,A201,1,1,1
340,A12,24,A34,A46,5743,A61,A72,2,A101,4,A124,0,A143,A153,2,A173,1,A192,A201,1,0,1
341,A11,21,A32,A42,3599,A61,A74,1,A101,4,A123,1,A143,A151,1,A172,1,A191,A201,1,0,1
342,A12,18,A32,A43,3213,A63,A72,1,A101,3,A121,0,A143,A151,1,A173,1,A191,A201,1,1,1
343,A12,18,A32,A49,4439,A61,A75,1,A102,1,A121,1,A141,A152,1,A174,1,A192,A201,1,1,0
344,A11,30,A34,A40,3949,A61,A72,2,A103,1,A123,1,A143,A152,1,A173,2,A191,A201,0,1,0
345,A12,12,A33,A43,1459,A61,A73,4,A101,2,A123,1,A143,A152,1,A173,1,A191,A201,0,0,1
346,A12,13,A34,A43,882,A61,A72,4,A103,4,A121,0,A143,A152,2,A173,1,A191,A201,1,1,0
347,A12,24,A32,A43,3758,A63,A71,1,A101,4,A124,0,A143,A151,1,A171,1,A191,A201,1,0,1
348,A14,6,A33,A49,1743,A62,A73,1,A101,2,A121,1,A143,A152,2,A172,1,A191,A201,1,1,0
349,A12,9,A34,A46,1136,A64,A75,4,A101,3,A124,1,A143,A153,2,A173,2,A191,A201,0,1,0
350,A14,9,A32,A44,1236,A61,A72,1,A101,4,A121,0,A143,A151,1,A173,1,A192,A201,1,0,1
351,A12,9,A32,A42,959,A61,A73,1,A101,2,A123,1,A143,A152,1,A173,1,A191,A202,0,0,1
352,A12,24,A32,A41,3229,A61,A71,4,A101,4,A124,1,A143,A152,1,A172,1,A192,A201,0,1,0
353,A11,12,A30,A43,6199,A61,A73,4,A101,2,A122,1,A143,A151,2,A173,1,A192,A201,0,1,0
354,A12,12,A32,A46,727,A65,A75,4,A101,4,A122,1,A143,A153,1,A173,1,A192,A201,0,1,0
355,A12,24,A32,A40,1246,A61,A72,4,A101,2,A121,0,A142,A152,1,A172,1,A191,A201,0,1,0
356,A14,12,A34,A43,2331,A65,A75,1,A102,4,A121,1,A143,A152,1,A173,1,A192,A201,1,1,0
357,A14,36,A33,A43,4463,A61,A73,4,A101,2,A123,1,A143,A152,2,A174,1,A192,A201,0,1,0
358,A14,12,A32,A43,776,A61,A73,4,A101,2,A121,1,A143,A152,1,A173,1,A191,A201,1,1,1
359,A11,30,A32,A42,2406,A61,A74,4,A101,4,A121,0,A143,A151,1,A173,1,A191,A201,0,0,1
360,A12,18,A32,A46,1239,A65,A73,4,A101,4,A124,1,A143,A153,1,A173,1,A191,A201,1,1,0
361,A12,24,A32,A43,3399,A61,A75,2,A101,3,A121,1,A142,A152,1,A173,1,A191,A201,0,1,0
362,A13,24,A34,A40,2247,A61,A73,2,A101,2,A121,1,A143,A152,2,A172,1,A192,A201,0,0,1
363,A14,6,A32,A42,1766,A61,A73,1,A101,2,A122,0,A143,A151,1,A173,1,A191,A201,1,1,1
364,A11,18,A32,A42,2473,A61,A71,4,A101,1,A123,0,A143,A152,1,A171,1,A191,A201,0,1,0
365,A12,18,A32,A49,1542,A61,A74,4,A101,4,A123,1,A143,A152,1,A173,1,A192,A201,0,1,0
366,A14,18,A34,A41,3850,A61,A74,3,A101,1,A123,1,A143,A152,2,A173,1,A191,A201,1,1,0
367,A11,18,A32,A42,3650,A61,A72,1,A101,4,A123,0,A143,A151,1,A173,1,A191,A201,1,0,1
368,A11,36,A32,A42,3446,A61,A75,4,A101,2,A123,1,A143,A152,1,A173,2,A191,A201,0,1,0
369,A12,18,A32,A42,3001,A61,A74,2,A101,4,A121,1,A143,A151,1,A173,1,A191,A201,1,0,1
370,A14,48,A32,A40,3079,A61,A73,4,A101,4,A122,1,A141,A152,1,A173,1,A191,A201,0,1,0
371,A14,18,A34,A43,6070,A61,A75,3,A101,4,A123,1,A143,A152,2,A173,1,A192,A201,1,1,0
372,A14,10,A34,A42,2146,A61,A72,1,A101,3,A121,0,A143,A151,2,A173,1,A191,A201,1,0,1
373,A14,60,A34,A40,13756,A65,A75,2,A101,4,A124,1,A141,A153,1,A174,1,A192,A201,1,1,0
374,A12,60,A31,A410,14782,A62,A75,3,A101,4,A124,1,A141,A153,2,A174,1,A192,A201,0,0,1
375,A11,48,A31,A49,7685,A61,A74,2,A103,4,A123,1,A143,A151,1,A173,1,A191,A201,0,0,1
376,A14,18,A33,A43,2320,A61,A71,2,A101,3,A121,1,A143,A152,2,A173,1,A191,A201,1,1,1
377,A14,24,A32,A43,846,A61,A75,4,A101,4,A122,1,A143,A153,1,A171,1,A191,A201,0,1,0
378,A12,36,A32,A40,14318,A61,A75,4,A101,2,A124,1,A143,A153,1,A174,1,A192,A201,0,1,0
379,A14,6,A34,A40,362,A62,A73,4,A101,4,A123,1,A143,A152,2,A172,1,A191,A201,1,0,1
380,A11,20,A32,A42,2212,A65,A74,4,A101,4,A123,1,A143,A152,1,A173,1,A192,A201,1,1,0
381,A12,18,A32,A41,12976,A61,A71,3,A101,4,A124,1,A143,A153,1,A174,1,A192,A201,0,0,1
382,A14,22,A32,A40,1283,A65,A74,4,A101,4,A122,0,A143,A151,1,A173,1,A191,A201,1,0,1
383,A14,12,A32,A40,1330,A61,A72,2,A101,1,A122,1,A141,A152,1,A172,1,A191,A201,0,1,0
384,A14,30,A33,A49,4272,A62,A73,2,A101,2,A122,1,A143,A152,2,A172,1,A191,A201,1,1,0
385,A14,18,A34,A43,2238,A61,A73,2,A101,1,A123,0,A143,A152,2,A173,1,A191,A201,1,0,1
386,A14,18,A32,A43,1126,A65,A72,4,A101,2,A121,0,A143,A151,1,A173,1,A192,A201,1,0,1
387,A11,24,A32,A42,7374,A61,A71,2,A101,4,A121,1,A141,A152,2,A174,1,A192,A201,0,1,0
388,A12,21,A31,A49,2326,A61,A73,2,A101,4,A121,1,A143,A152,1,A171,1,A191,A201,0,1,0
389,A14,9,A32,A49,1449,A61,A74,3,A101,2,A123,1,A143,A152,2,A173,1,A191,A201,1,0,1
390,A14,18,A32,A40,1820,A61,A73,2,A101,2,A122,1,A143,A152,1,A174,1,A192,A201,1,1,1
391,A12,12,A32,A42,983,A64,A72,1,A101,4,A121,0,A143,A151,1,A172,1,A191,A201,1,0,1
392,A14,12,A30,A40,3249,A61,A74,2,A101,4,A123,1,A143,A153,1,A174,2,A192,A201,0,1,0
393,A11,6,A34,A43,1957,A61,A74,1,A101,4,A123,1,A143,A152,1,A173,1,A191,A201,1,0,1
394,A11,12,A32,A42,2406,A64,A71,3,A101,3,A124,1,A143,A152,1,A173,1,A191,A201,0,1,0
395,A12,39,A33,A46,11760,A62,A74,2,A101,3,A124,1,A143,A151,1,A173,1,A192,A201,1,1,0
396,A11,24,A32,A42,2578,A61,A71,2,A101,4,A121,1,A143,A153,1,A172,1,A191,A201,0,0,1
397,A11,24,A32,A42,2348,A61,A73,3,A101,2,A121,1,A143,A152,2,A172,1,A192,A201,0,1,1
