credit_history,amount,employment,residence_since,housing,job,telephone,foreign_worker,sex,marital_status,age,credit_risk
0,1169,4,4,1,1,1,1,1,0,1,1
1,9629,2,2,1,1,0,1,0,1,0,0
0,2096,3,3,1,0,0,1,1,0,1,1
1,7882,3,4,1,1,0,1,1,0,1,1
0,4870,2,4,0,0,0,1,1,0,0,1
1,9055,2,4,0,0,1,1,1,0,1,1
1,2835,4,4,1,1,0,1,1,0,1,1
1,6948,2,2,0,2,1,1,1,0,1,1
1,3059,3,4,1,0,0,1,1,1,1,1
0,5234,0,2,1,2,0,1,1,1,0,1
1,1295,1,1,0,1,0,1,0,1,0,0
1,4308,1,4,0,1,0,1,0,1,0,0
1,1567,2,1,1,1,1,1,0,0,1,0
0,1199,4,4,0,0,0,1,1,0,0,1
1,1403,2,4,0,1,0,1,0,1,1,1
1,1282,2,2,1,0,0,1,0,1,0,1
0,2424,2,4,1,1,0,1,1,1,1,1
1,8072,1,3,1,1,0,1,1,0,1,0
1,12579,4,2,1,2,1,1,1,1,0,1
1,3430,4,2,1,1,1,1,1,0,1,1
0,2134,2,4,1,1,1,1,1,0,1,1
1,2647,2,3,0,1,0,1,1,0,1,1
0,2241,4,3,0,0,0,0,1,0,1,1
0,1804,4,4,1,2,0,1,1,0,1,1
0,2069,2,1,1,1,0,0,1,1,1,1
1,1374,2,2,1,0,1,1,1,0,1,1
1,426,4,4,1,0,0,1,1,1,1,1
1,409,2,3,0,1,0,1,0,1,1,1
1,2415,2,2,1,1,0,1,1,0,1,1
0,6836,4,4,0,1,1,1,1,0,0,1
1,1913,1,3,1,1,1,1,1,1,1,1
1,4020,2,2,1,1,0,1,1,0,1,1
1,5866,2,2,1,1,1,1,1,0,1,1
0,1264,4,4,0,0,0,1,1,0,1,1
1,1474,1,1,1,2,1,1,0,1,1,1
1,4746,1,2,0,1,0,1,1,0,0,0
0,6110,2,3,0,1,1,1,1,0,1,1
1,2100,2,2,1,1,0,1,1,0,0,1
1,1225,2,2,1,1,1,1,1,0,1,1
1,458,2,3,1,1,0,1,1,0,1,0
1,2333,4,2,1,2,0,1,1,0,1,1
1,1158,2,1,1,1,1,1,1,1,1,1
0,6204,2,4,1,0,1,1,1,0,1,1
1,6187,3,4,0,1,0,1,1,1,1,0
0,6143,4,4,0,0,0,1,0,1,0,1
0,1393,1,4,1,2,0,1,0,1,1,1
0,2299,4,2,0,1,0,1,1,0,1,1
1,1352,0,2,0,0,1,1,0,1,1,0
0,4113,2,4,1,0,0,1,1,1,1,1
1,2073,2,2,1,1,0,1,0,1,1,1
0,2333,1,2,1,0,0,1,1,0,1,1
0,5965,4,2,1,2,1,1,1,0,1,1
1,1262,2,2,1,1,0,1,1,0,1,0
1,3378,2,1,1,1,1,1,1,0,1,1
0,2225,4,4,0,1,1,1,1,0,0,1
1,783,2,2,1,0,0,1,1,0,1,1
1,6468,1,1,1,2,1,1,1,0,0,1
0,9566,2,2,1,1,0,1,0,1,1,1
1,10144,4,2,1,0,0,1,0,1,1,0
0,6229,1,4,0,0,1,1,0,1,0,0
1,1391,2,1,1,1,1,1,1,1,1,1
1,1537,4,4,1,1,1,1,1,0,1,1
1,1953,4,4,0,2,1,1,1,0,0,1
1,14421,2,2,1,1,1,1,1,0,0,0
1,3181,1,4,1,1,1,1,0,1,1,1
1,5190,4,4,1,1,1,1,1,0,1,1
1,2171,1,2,1,1,0,1,0,1,1,1
1,1007,2,1,1,1,0,1,1,1,1,0
1,1819,3,4,0,1,1,1,1,0,0,1
1,2394,2,4,1,1,0,1,0,0,1,0
1,8133,2,2,1,1,0,1,0,1,1,1
0,9857,4,2,1,0,1,1,1,1,1,1
0,1164,4,4,0,2,1,1,1,0,1,1
0,2511,3,1,1,0,0,1,0,1,1,1
1,1977,4,4,1,0,1,1,1,0,0,1
0,1526,4,4,1,2,0,1,1,0,1,1
1,3965,1,3,1,1,0,1,1,0,0,1
0,4771,3,4,1,1,0,1,1,0,1,1
1,1149,2,2,1,0,0,1,1,0,1,1
1,3832,1,1,1,1,0,1,1,1,1,0
1,5943,1,4,1,1,1,1,0,1,0,1
1,1213,4,3,1,1,1,1,1,0,1,1
1,1568,1,4,0,0,0,1,1,1,1,0
1,1755,4,4,1,0,1,1,0,1,1,1
1,2315,4,1,1,0,0,1,1,0,1,1
0,1412,2,4,1,2,1,1,0,1,1,1
0,1295,1,1,1,1,0,1,0,1,1,1
1,12612,2,4,0,1,1,1,1,0,0,1
1,2249,3,3,1,2,1,1,1,0,1,1
1,1108,4,3,1,1,0,1,1,0,0,1
0,1924,4,4,1,1,0,1,1,0,1,1
0,1409,4,3,1,1,0,1,1,0,1,1
0,797,4,3,1,0,1,1,0,1,0,1
0,3617,4,4,0,1,0,1,1,0,1,0
1,1318,4,4,1,1,1,1,1,0,1,1
1,15945,1,4,0,1,1,1,1,0,0,1
0,2012,3,2,1,1,0,1,0,1,1,1
1,2622,2,4,1,1,0,1,1,0,1,1
0,2337,4,4,1,1,0,1,1,0,1,1
0,7057,3,4,0,2,1,1,1,0,1,1
1,1469,4,4,0,0,0,1,1,1,1,1
1,2323,0,4,0,1,0,1,1,0,1,0
0,932,2,2,1,1,0,1,0,1,1,0
0,1919,3,3,0,1,1,1,1,0,1,1
1,2445,1,4,0,1,1,1,1,1,1,1
1,11938,2,3,1,2,1,1,1,0,0,1
1,6458,4,4,1,2,1,1,1,0,0,1
1,6078,3,2,1,1,0,1,1,0,1,1
1,7721,1,2,1,1,1,0,0,1,1,1
1,1410,4,4,1,1,1,1,1,1,1,1
0,1449,4,2,1,1,0,1,1,1,1,1
0,1905,1,4,1,1,1,1,0,1,1,0
1,6260,3,3,1,0,0,1,1,0,1,1
0,7855,2,2,1,2,1,1,0,1,0,0
1,1680,4,1,1,1,0,1,1,1,1,1
0,3578,4,1,1,1,1,1,1,0,1,1
1,7174,3,3,1,2,1,1,0,1,0,1
0,2132,1,3,0,1,0,0,0,1,1,1
0,4281,2,4,1,1,1,1,1,1,0,0
0,2366,3,3,1,2,1,1,1,1,1,1
1,1835,2,2,1,1,1,1,0,1,0,0
0,3868,4,2,0,2,1,1,0,1,1,1
1,1768,2,2,0,0,0,1,1,0,1,0
0,2788,4,4,0,1,1,1,1,0,1,1
1,1924,1,3,0,1,0,1,0,1,0,1
0,2121,2,2,1,1,0,1,1,0,1,1
1,701,2,2,1,0,0,1,1,1,1,1
1,639,2,2,1,1,0,1,1,0,0,1
0,1860,0,2,1,2,1,1,1,0,1,1
0,3499,2,2,1,1,0,1,0,1,0,1
1,8487,3,2,1,1,0,1,0,1,1,0
0,6887,2,3,1,1,1,1,1,0,0,1
1,2708,1,3,1,0,0,1,1,0,1,1
1,7253,2,4,0,1,0,1,1,0,1,1
1,10144,3,4,1,1,1,1,0,1,1,0
0,1240,4,2,1,1,1,1,0,1,1,1
0,8613,2,2,1,1,0,1,1,0,1,1
1,766,2,3,1,0,0,1,1,0,0,1
0,2728,3,2,1,1,1,1,1,0,1,1
1,1881,2,2,0,0,1,1,0,1,1,1
1,709,1,2,1,0,0,0,1,1,1,1
1,4795,1,1,1,2,1,1,0,1,1,1
1,3416,2,2,1,2,0,1,1,0,1,1
1,760,2,2,1,1,0,1,1,0,0,0
0,2288,1,4,1,1,1,1,0,1,1,0
1,797,3,2,1,1,0,1,1,0,1,1
1,860,4,4,1,1,1,1,0,1,1,1
0,682,3,3,1,1,1,1,0,1,1,1
0,5371,2,2,1,1,0,1,1,0,1,1
0,1582,4,4,1,1,0,1,1,0,1,1
1,3386,4,4,1,1,1,1,1,0,1,1
1,1924,2,4,1,1,1,0,1,0,1,1
1,5848,2,4,1,1,0,1,1,0,1,0
0,7758,4,4,1,1,1,1,1,1,1,1
0,6967,3,4,0,2,1,1,1,0,1,1
1,1282,1,4,0,1,0,1,0,1,0,0
0,1288,4,4,1,1,0,0,1,0,1,1
1,339,4,1,1,0,0,1,1,1,1,1
1,3512,1,3,1,1,1,1,1,0,1,1
0,1898,2,2,1,0,0,1,1,0,1,1
0,629,0,4,1,1,1,1,1,0,1,1
0,1055,1,2,1,1,0,1,0,0,1,1
1,846,3,3,1,1,1,1,1,0,1,1
1,7308,0,4,0,2,1,1,1,0,1,1
1,909,4,4,1,1,0,1,1,0,1,1
1,2978,2,2,1,1,1,1,1,0,1,1
1,1131,0,2,1,1,0,1,0,1,0,1
1,1577,1,1,1,1,0,1,0,1,1,0
1,3972,3,4,0,1,1,1,0,0,1,0
1,1935,4,4,1,1,1,1,0,1,0,1
1,950,4,3,0,1,0,1,1,0,0,1
1,763,2,1,1,1,1,1,0,1,1,1
0,1175,0,2,1,2,1,1,0,1,0,1
1,1414,2,2,1,1,0,0,1,0,1,1
0,3414,1,1,1,1,0,1,1,0,0,1
0,7485,0,1,1,2,1,1,0,1,0,1
1,2577,2,1,1,1,0,1,1,1,1,1
0,338,4,4,1,1,0,1,1,1,1,1
1,1963,3,2,0,2,1,0,1,0,1,1
0,571,4,4,1,1,0,1,1,0,1,1
0,9572,1,1,1,1,0,1,1,1,0,1
0,4455,2,2,1,2,1,1,1,1,0,1
1,1647,2,2,1,0,0,1,1,0,0,1
0,3777,2,4,1,1,1,1,1,0,1,1
0,884,4,4,1,1,1,1,1,0,0,1
0,1360,2,2,1,1,0,1,1,0,1,1
1,5129,4,4,0,2,1,1,0,1,0,1
0,1175,0,3,0,0,1,1,1,0,1,1
1,674,3,1,1,1,0,1,1,1,0,0
1,3244,2,4,1,1,1,1,0,1,1,1
1,4591,2,3,1,2,1,1,1,0,0,1
1,3844,3,4,0,0,0,1,1,0,0,1
1,3915,2,2,1,1,1,1,1,0,0,1
1,2108,3,2,0,1,0,1,1,1,1,1
1,3031,2,4,0,1,0,1,1,0,0,0
0,1501,4,3,1,2,1,1,0,1,0,1
0,1382,2,1,1,1,1,1,0,0,1,1
1,951,1,4,0,1,0,1,0,1,0,1
1,2760,4,4,0,1,1,1,1,0,1,1
0,4297,4,3,1,2,1,1,1,1,0,1
0,936,4,2,1,1,1,1,1,1,1,1
1,1168,2,3,1,0,0,1,1,1,1,1
0,5117,3,4,1,1,0,1,1,0,1,1
1,902,3,4,0,1,0,1,1,1,0,0
1,1495,2,1,1,0,0,1,1,0,1,1
0,10623,4,4,0,2,1,1,1,0,1,1
0,1935,4,4,1,1,1,1,1,0,1,1
0,1424,3,3,1,1,0,1,1,0,1,1
1,6568,2,2,1,2,0,1,1,1,1,0
1,1413,3,2,1,1,0,0,1,0,1,1
0,2775,2,2,1,1,0,1,1,0,1,1
1,3835,4,4,1,0,1,1,0,1,1,1
1,5293,0,4,1,1,0,1,1,0,0,1
0,1908,4,4,1,2,1,1,1,0,0,1
1,3342,4,2,1,1,1,1,1,0,1,1
0,932,3,1,1,0,0,1,0,1,1,1
1,1795,3,1,0,1,1,1,1,0,1,1
1,3913,2,4,1,1,0,1,1,0,1,0
1,3021,2,2,0,0,0,1,1,1,1,0
1,1364,2,4,1,1,1,1,0,1,1,1
1,625,1,1,1,0,0,1,1,1,1,1
1,5866,2,4,0,2,1,1,0,1,1,0
1,707,2,2,1,1,0,1,1,0,1,1
0,2978,2,4,1,1,0,1,1,0,1,1
1,4657,2,2,1,1,1,1,1,0,1,1
1,2613,2,2,1,1,0,1,1,0,1,1
1,10961,3,2,0,1,1,1,1,0,0,1
1,7865,4,4,0,2,1,1,1,0,0,1
1,1478,3,2,1,1,0,1,1,0,0,0
1,3149,1,1,0,1,0,1,0,0,1,0
1,4210,2,2,1,1,0,1,1,0,0,1
1,2507,4,4,1,0,0,1,1,0,1,1
1,2141,3,2,1,1,0,1,1,0,1,1
1,866,2,2,1,0,0,1,1,1,1,0
0,1544,3,1,1,0,0,1,1,0,1,1
1,1823,0,2,1,2,0,1,1,0,0,1
1,14555,0,2,1,0,1,1,1,0,0,0
1,2767,4,2,0,0,0,1,1,1,0,1
0,1291,2,2,1,1,0,1,0,1,1,1
1,2522,4,3,1,1,0,1,1,0,1,1
1,915,4,2,1,1,0,1,0,1,0,1
1,1595,3,2,1,1,0,1,1,0,1,1
0,4605,4,4,0,1,0,1,1,0,0,0
0,1185,4,2,1,1,0,1,0,1,1,1
1,3447,2,3,1,0,0,1,0,1,1,1
1,1258,3,1,1,1,1,1,1,0,1,0
0,717,4,4,1,1,0,1,1,0,1,1
0,1204,2,1,0,1,0,0,1,0,1,1
1,1925,2,2,1,1,0,1,1,0,1,1
1,433,0,4,0,1,0,1,0,1,0,0
0,666,3,4,1,0,1,1,0,1,1,1
1,2251,2,2,1,0,0,1,0,1,1,1
1,1237,2,2,1,1,0,1,0,1,0,0
0,4151,2,3,1,1,0,1,1,0,1,1
1,2030,3,1,1,1,1,1,1,0,1,0
1,7418,2,1,1,0,0,1,1,0,1,1
0,2684,2,2,1,0,0,1,1,0,1,1
1,2149,0,1,0,1,0,1,1,1,0,1
1,3812,1,4,1,1,1,1,0,1,1,0
0,1154,0,4,1,0,0,1,0,1,1,1
1,1657,2,2,1,1,1,1,1,0,1,1
1,1603,4,4,1,1,0,1,0,1,1,1
0,5302,4,4,0,2,1,1,1,0,1,1
0,2748,4,4,0,0,0,1,0,1,1,1
0,1231,4,4,1,0,0,0,1,0,1,1
1,802,4,3,1,1,0,1,1,0,0,1
0,6615,4,4,1,1,0,1,1,0,1,1
1,1533,1,3,1,1,1,1,0,1,1,1
1,8978,4,4,1,2,1,0,1,1,0,1
1,999,4,2,1,1,0,1,1,0,1,0
1,2662,3,3,1,1,0,0,1,0,1,1
0,1402,3,4,0,1,1,1,0,1,1,1
1,12169,0,4,0,2,1,1,1,0,1,1
1,3060,3,4,1,1,0,1,1,0,0,1
1,4380,1,1,1,0,1,1,1,1,0,1
1,2697,2,2,1,1,0,1,1,0,1,1
0,2404,2,2,1,1,0,1,0,1,1,1
1,1262,4,4,1,0,1,1,1,1,1,1
1,4611,1,4,1,1,0,1,0,1,0,1
1,1901,2,4,0,2,1,1,1,0,1,1
0,3368,4,4,0,1,1,1,1,0,1,0
1,1574,2,2,1,1,0,1,1,0,1,1
1,1445,3,4,1,0,0,1,1,0,1,1
0,1520,4,4,1,1,0,1,1,0,1,1
0,3878,1,2,1,1,1,1,1,0,1,1
1,10722,1,1,1,0,1,1,1,1,1,1
1,4788,2,3,1,1,0,1,1,0,1,1
0,7582,0,4,0,2,1,1,1,0,1,1
1,1092,1,1,1,1,1,1,0,1,1,1
0,1024,1,4,1,1,0,1,1,1,0,1
1,1076,2,2,1,1,1,0,1,1,1,1
1,9398,1,4,1,2,1,1,1,1,0,1
0,6419,4,4,0,2,1,1,0,1,1,1
0,4796,4,4,0,1,0,1,1,0,1,1
0,7629,4,2,1,2,0,1,1,1,1,1
1,9960,1,2,1,1,1,1,0,1,0,1
1,4675,1,4,0,1,0,1,0,1,1,0
1,1287,4,2,1,0,0,0,1,0,1,1
1,2515,2,4,1,1,1,1,1,0,1,1
0,2745,3,2,1,1,1,1,1,0,1,1
1,672,0,4,1,0,1,1,0,1,1,1
1,3804,2,1,1,2,1,1,0,1,0,1
0,1344,3,2,1,0,0,1,1,0,0,1
0,1038,3,3,1,1,1,1,1,0,1,1
0,10127,2,2,0,1,0,1,1,1,0,1
1,1543,2,2,1,1,0,1,1,1,1,1
1,4811,3,4,0,0,0,1,0,1,1,0
1,727,1,3,1,0,1,1,1,1,0,1
1,1237,2,4,1,1,0,1,0,1,0,0
1,276,2,4,0,0,0,1,1,1,1,0
1,5381,0,4,0,1,1,1,1,0,1,1
1,5511,2,1,1,1,0,1,1,0,1,0
1,3749,1,4,1,1,0,1,0,1,1,1
1,685,1,3,1,0,0,1,1,1,0,0
1,1494,3,2,0,0,0,0,1,0,1,1
1,2746,4,4,1,1,0,1,1,0,0,1
1,708,2,3,1,0,0,1,1,1,1,1
1,4351,2,4,1,0,1,1,0,1,1,1
0,701,2,2,1,1,0,1,1,1,1,1
0,3643,4,4,1,0,0,1,0,1,1,1
0,4249,0,2,1,2,0,1,1,1,0,1
1,1938,1,4,1,1,0,1,1,1,0,1
1,2910,3,1,0,2,1,1,0,0,1,1
1,2659,2,2,1,1,0,1,1,0,1,1
0,1028,1,3,1,1,0,1,1,1,1,1
0,3398,3,4,1,0,0,0,1,0,1,1
0,5801,4,4,0,1,1,1,1,0,1,1
1,1525,3,3,1,1,1,1,0,1,1,1
1,4473,4,2,1,1,0,1,1,0,1,1
1,1068,4,4,1,1,0,1,1,0,1,1
0,6615,0,4,0,2,1,1,1,0,1,1
0,1864,4,1,1,1,0,1,0,1,0,1
1,7408,1,2,1,2,0,1,1,1,0,0
0,11590,2,4,0,0,0,1,0,1,0,0
1,12389,4,4,0,1,0,1,1,0,0,0
0,3448,2,4,0,2,1,1,1,1,0,1
1,2101,1,4,1,0,0,1,0,1,1,0
1,1275,2,2,0,1,0,1,0,1,0,0
1,4169,2,4,1,1,0,1,1,0,1,1
1,1521,2,2,1,0,0,1,1,1,1,1
0,5743,1,4,0,1,1,1,0,1,1,0
1,3599,3,4,0,0,0,1,0,0,1,1
1,2910,1,3,0,1,1,1,1,1,1,0
1,4439,4,1,1,2,1,1,1,0,1,1
1,3949,3,1,1,0,0,1,1,0,1,1
0,1459,2,2,1,0,0,1,0,1,1,1
0,882,1,4,1,1,0,1,1,0,1,0
1,3758,0,4,1,0,0,1,0,1,1,0
0,1743,2,2,1,1,0,1,1,0,1,1
0,1136,4,3,0,1,0,1,1,0,0,1
1,1236,1,4,1,1,1,1,0,1,1,0
1,959,2,2,1,1,0,0,0,1,0,1
0,3229,0,4,1,2,1,1,1,0,1,1
1,6199,2,2,0,1,1,1,1,0,0,1
0,727,4,4,0,1,1,1,1,0,1,1
1,1246,1,2,1,0,0,1,1,0,0,0
0,2331,4,4,1,1,1,1,1,0,1,1
0,4463,2,2,1,2,1,1,1,0,0,1
1,776,2,2,1,1,0,1,1,1,1,1
1,2406,3,4,0,1,0,1,0,1,0,0
1,1239,2,4,0,1,1,1,1,0,1,1
1,3399,4,3,0,2,0,1,1,0,1,1
0,2247,4,2,1,1,1,1,0,1,1,1
1,1766,2,4,0,1,0,1,1,1,1,0
1,2473,0,1,1,0,0,1,1,0,0,0
1,1542,3,4,1,1,1,1,1,0,1,1
0,3850,3,1,1,1,0,1,1,0,1,1
1,3650,1,4,0,1,0,1,0,1,1,0
1,3446,4,2,1,1,0,1,1,1,0,1
1,3001,3,4,0,1,0,1,0,1,1,1
1,3079,2,4,1,1,0,1,1,0,1,1
0,6070,4,4,1,1,1,1,1,0,1,1
1,2146,1,2,0,1,0,1,0,1,1,0
0,13756,4,4,0,2,1,1,1,0,1,1
1,14782,4,4,0,2,1,1,1,1,0,1
1,7685,3,4,0,1,0,1,0,1,0,1
0,2570,0,3,1,1,0,1,1,1,1,1
0,846,4,4,0,2,0,1,1,0,1,1
1,14318,4,2,0,2,1,1,1,0,0,1
0,362,2,4,1,0,0,1,0,1,1,1
1,2212,3,4,1,1,1,1,1,0,1,1
1,12976,0,4,0,2,0,1,0,1,0,1
1,1283,3,4,0,1,0,1,0,1,1,0
0,1330,1,1,1,1,0,1,1,0,1,1
0,4272,2,2,1,0,0,1,1,0,1,1
0,2238,2,1,1,1,0,1,0,1,1,0
0,1126,1,2,0,1,1,1,0,1,1,0
0,7374,0,4,1,2,0,1,1,0,1,1
0,2326,2,4,1,1,0,1,0,0,1,1
1,1449,3,2,1,1,0,1,0,1,1,1
1,1820,2,2,1,2,1,1,1,0,1,1
1,983,1,4,1,0,0,1,0,1,1,0
1,3249,3,4,0,2,1,1,1,0,1,1
0,1957,3,4,1,1,0,1,0,1,1,1
0,2406,0,3,1,2,0,1,1,0,1,1
0,11760,3,3,0,1,1,1,1,0,1,1
1,2578,0,4,0,2,0,1,0,1,1,1
0,2348,2,2,1,1,1,1,1,1,1,1
1,1223,4,1,0,1,0,1,1,1,0,1
0,1516,2,1,1,0,0,1,0,1,1,1
1,1473,1,4,1,1,1,1,1,1,1,1
0,1887,2,4,1,1,0,1,1,1,1,1
0,8648,3,2,1,1,1,1,1,0,0,1
0,802,2,2,1,1,0,1,1,0,1,1
0,2899,4,4,1,1,0,1,1,0,1,1
1,2039,1,1,1,1,0,1,1,1,0,0
0,2197,3,4,1,1,1,1,1,0,1,1
1,1053,1,2,1,1,0,0,1,1,1,1
1,2625,1,2,1,2,1,1,1,1,1,1
0,939,3,2,1,1,1,1,1,1,0,1
1,1967,4,4,1,1,1,1,0,1,1,0
0,7253,3,2,1,2,1,1,1,0,1,1
0,2292,0,2,1,2,1,1,1,0,0,1
1,1597,2,2,0,0,0,0,1,1,1,1
1,1381,2,2,1,1,0,1,0,1,0,1
0,5842,4,2,1,1,1,1,1,0,1,1
1,2579,1,1,1,0,0,1,1,0,0,1
0,8471,2,2,0,1,1,1,0,1,1,0
1,2782,3,2,1,2,0,1,0,1,1,1
1,1042,2,2,1,1,0,1,0,1,0,1
1,3186,3,3,0,1,0,1,0,1,1,0
1,2028,2,2,1,1,0,1,1,0,1,1
0,958,3,3,1,0,0,1,1,0,1,1
0,1591,3,3,1,2,0,1,1,0,1,1
1,2762,4,2,1,1,1,1,0,1,0,0
1,2779,2,3,0,1,1,1,1,1,1,0
0,2743,4,2,1,1,0,1,1,0,1,1
0,1149,2,3,1,1,0,1,1,0,1,1
1,1313,4,4,1,1,0,1,1,0,1,0
0,1190,0,4,0,0,0,1,0,1,0,1
1,3448,3,4,1,0,0,1,1,0,1,1
1,11328,2,3,1,2,1,1,1,0,0,1
0,1872,0,4,0,2,1,1,1,0,1,1
0,1291,2,2,1,1,0,1,1,1,1,1
1,2136,3,2,1,1,0,1,1,0,1,0
1,1484,2,1,1,1,1,1,1,1,0,0
1,660,3,4,0,0,0,1,1,1,1,0
0,1287,4,4,1,1,1,1,0,1,1,1
0,3394,0,4,1,0,0,1,1,0,1,1
1,609,1,1,1,0,0,1,0,1,0,1
1,1884,4,4,1,2,1,1,1,0,1,1
1,1620,2,3,1,0,0,1,0,0,1,1
0,2629,2,3,1,1,1,1,1,0,1,1
1,719,4,4,1,0,0,1,1,1,0,1
0,5096,2,3,1,2,1,1,0,1,0,1
0,1244,4,4,0,0,0,1,0,1,1,1
1,1842,1,4,1,1,1,1,0,0,0,1
1,2576,2,2,1,1,0,1,1,0,1,1
1,1424,4,3,1,2,1,1,0,1,1,1
0,1512,2,3,1,1,0,1,1,1,0,1
0,11054,2,2,1,2,1,1,1,0,1,1
1,518,2,1,1,1,0,1,0,1,1,1
1,2759,4,4,1,1,0,1,1,0,1,1
1,2670,4,4,1,2,1,1,0,0,1,1
1,4817,3,3,1,1,0,1,1,0,0,1
1,3857,1,1,1,2,0,1,0,1,1,1
0,3905,2,2,0,1,0,1,1,0,1,1
1,3386,4,4,0,1,1,1,1,0,0,1
1,343,1,1,1,1,0,1,0,1,1,1
0,4594,1,2,1,1,1,1,1,0,1,1
1,3620,2,2,1,0,0,1,1,0,1,1
1,1721,1,3,1,1,0,1,1,0,1,1
1,3017,1,1,0,2,0,1,0,1,1,1
1,754,4,4,1,1,0,1,1,0,1,1
1,1950,3,1,1,1,1,1,1,0,1,1
1,2924,2,4,1,1,1,1,1,0,1,1
0,1659,1,2,0,0,1,1,0,1,0,1
0,7238,4,3,1,1,0,1,1,0,1,1
0,2764,2,2,1,1,1,1,0,1,1,1
0,4679,3,3,1,0,1,1,1,0,1,1
1,3092,1,2,0,1,1,1,1,1,0,0
1,448,1,4,1,1,0,1,0,1,0,0
1,1484,2,3,1,0,0,1,1,0,0,1
1,3343,0,4,1,2,1,1,1,0,1,1
0,1245,2,2,1,1,0,1,1,1,0,1
1,3114,4,4,0,1,0,1,0,1,0,1
1,2569,2,4,1,1,0,1,1,0,1,0
1,2241,3,2,1,1,0,1,1,0,1,0
1,1037,3,4,1,0,0,1,1,0,1,1
0,1478,4,4,1,1,1,1,1,0,1,1
0,790,2,1,1,0,0,1,0,1,1,0
1,1984,1,1,1,1,0,1,1,0,1,1
1,3622,2,4,0,1,1,1,0,1,1,1
0,960,3,2,1,1,0,1,1,1,1,1
0,1163,3,4,1,1,1,1,1,0,1,1
1,1209,0,4,1,2,1,1,1,0,0,1
1,3077,2,4,1,1,1,1,1,1,1,1
0,3757,4,4,0,1,1,1,0,1,1,1
1,1418,2,2,0,0,0,0,1,0,1,1
1,3518,2,3,0,1,1,1,1,0,1,1
0,1934,4,2,1,1,0,1,1,0,1,1
1,8318,4,4,0,2,1,1,0,1,0,1
0,1237,2,1,1,1,0,1,0,1,1,1
1,368,4,4,1,1,0,1,1,0,1,1
1,2122,2,2,0,0,0,0,1,0,1,1
1,2996,3,2,1,1,0,1,1,1,0,0
1,9034,1,1,1,2,1,1,1,0,0,1
