credit_history,amount,employment,residence_since,age,housing,job,telephone,foreign_worker,sex,marital_status,credit_risk
0,1552,4,4,67,1,1,0,1,1,1,0
1,5951,2,2,22,1,1,0,1,0,0,1
1,8358,3,3,49,1,0,0,1,1,1,0
1,2299,3,4,45,0,1,0,1,1,1,0
0,4870,2,4,28,0,1,0,1,1,0,0
1,3160,2,4,35,0,0,1,1,1,1,0
1,2835,4,4,53,1,1,0,1,1,1,0
1,6948,2,2,35,0,2,1,1,1,1,0
1,3059,3,4,61,1,0,0,1,1,1,1
0,5234,0,2,28,1,2,0,1,0,0,1
1,1295,1,1,25,0,1,0,1,0,0,1
1,4308,1,4,24,0,1,0,1,0,0,1
1,1567,2,1,37,1,1,1,1,0,1,1
0,1199,4,4,60,1,0,0,1,1,0,0
1,1403,2,4,28,0,1,0,1,0,1,1
1,1282,2,2,32,1,0,0,1,0,0,1
0,2424,4,4,26,1,1,0,1,1,1,0
1,929,1,3,25,1,1,0,1,1,1,0
1,12579,4,2,44,0,2,1,1,0,0,1
1,1572,4,2,31,1,1,1,1,1,1,0
1,2134,2,4,48,1,1,1,1,1,1,0
1,2647,2,3,49,0,1,0,1,1,1,0
0,2241,1,3,48,0,0,0,0,1,1,0
0,1804,1,4,44,1,1,0,1,1,1,0
0,2069,2,1,26,1,1,0,0,1,1,1
1,1374,2,2,36,1,0,0,1,1,1,0
1,426,4,4,39,1,0,0,1,1,1,1
1,3441,2,3,42,0,1,0,1,0,1,1
1,2415,2,2,34,1,1,0,1,1,1,0
0,1203,3,4,63,1,1,1,1,1,0,0
1,1913,1,3,36,1,1,1,1,1,1,1
1,4020,2,2,27,1,1,0,1,1,1,0
1,5866,2,2,30,1,1,1,1,1,1,0
0,1264,4,4,43,0,0,0,1,1,1,0
1,1474,1,1,33,1,2,1,1,0,1,1
0,4746,1,2,25,1,0,0,1,1,0,0
0,6110,2,3,31,0,1,1,1,1,1,0
1,2100,2,2,37,1,1,0,1,1,0,0
1,1225,2,2,37,1,1,1,1,1,1,0
1,458,2,3,24,1,1,0,1,1,1,0
1,2333,2,2,30,1,2,0,1,1,1,0
1,2359,2,1,26,1,1,1,1,1,1,1
0,1238,2,4,44,1,0,1,1,1,1,0
1,6187,3,4,24,0,1,0,1,1,1,1
0,6143,4,4,35,0,0,0,1,0,0,1
0,1393,1,4,35,1,2,0,1,0,1,1
1,2299,4,4,39,1,1,0,1,1,1,0
1,1352,0,2,23,0,0,1,1,0,1,1
0,7228,2,4,39,1,0,0,1,1,1,0
1,1979,2,2,28,1,1,0,1,0,1,1
0,2333,1,2,29,1,0,0,1,1,1,0
0,5965,4,2,30,1,2,1,1,1,1,0
1,1262,2,2,25,1,1,0,1,1,1,0
1,3378,2,1,31,1,1,1,1,1,1,0
0,2225,4,4,57,0,1,1,1,1,0,0
1,783,2,2,26,1,0,0,1,1,1,0
1,6468,0,2,52,1,2,1,1,1,0,0
0,9566,4,4,31,1,1,0,1,0,1,1
1,1961,4,2,43,1,2,0,1,0,1,1
0,6229,1,4,23,0,0,1,1,0,0,1
1,1391,2,1,27,1,1,1,1,1,1,1
0,1537,4,4,50,1,1,1,1,1,1,0
1,1953,4,4,45,0,2,1,1,0,0,0
1,14421,2,2,25,1,1,1,1,1,0,0
1,3181,1,4,26,1,1,1,1,0,1,1
1,1526,4,4,48,1,1,1,1,1,1,0
1,2171,4,2,29,1,1,0,1,0,1,1
0,2223,2,1,22,1,1,0,1,1,1,1
1,1819,2,4,37,0,1,1,1,1,0,0
1,2394,2,4,25,1,1,0,1,0,1,1
1,8133,2,2,30,1,1,0,1,0,1,1
0,730,4,2,46,0,1,1,1,1,1,0
0,1164,4,4,51,0,2,1,1,1,1,0
0,5954,3,1,41,1,0,0,1,0,1,1
1,1977,4,4,40,1,2,1,1,1,0,0
0,1893,4,4,66,0,2,0,1,1,1,0
1,2570,1,1,34,1,1,0,1,1,0,0
0,4771,3,4,51,1,1,0,1,1,1,0
1,9436,2,2,39,1,0,0,1,1,1,0
1,3832,3,1,22,1,1,0,1,1,1,1
1,5943,1,1,44,1,1,1,1,0,0,1
1,1213,4,3,47,1,1,1,1,1,1,0
1,3573,2,4,24,0,0,0,1,0,1,1
1,1755,4,4,31,1,0,1,1,0,1,1
0,2315,4,4,52,1,0,0,1,1,1,0
0,1922,2,2,29,1,2,1,1,0,1,1
0,1295,1,1,27,1,1,0,1,0,1,1
1,12612,2,4,47,0,1,1,1,1,0,0
1,2249,3,3,30,1,2,1,1,1,1,0
1,1108,3,3,28,1,1,0,1,0,0,0
0,618,4,4,56,1,1,0,1,1,1,0
0,1409,4,3,54,1,1,0,1,1,1,0
0,797,4,3,33,1,0,0,1,0,0,1
0,3617,4,4,20,0,1,0,1,1,1,0
1,1318,4,4,54,1,1,1,1,1,1,0
1,15945,1,4,58,0,1,1,1,1,0,0
1,2012,3,2,61,1,1,0,1,0,1,1
1,2622,2,4,34,1,1,0,1,1,1,0
0,2337,4,4,36,1,1,0,1,1,1,0
0,7057,3,4,36,0,2,1,1,1,1,0
0,1469,4,4,41,0,0,0,1,1,1,1
1,2323,3,4,24,0,1,0,1,1,1,0
1,932,2,2,24,1,1,0,1,0,1,1
0,1919,3,3,24,0,1,1,1,1,1,0
1,2445,1,4,26,0,1,1,1,1,1,1
1,11938,2,3,39,1,2,1,1,1,0,0
1,6458,4,4,39,1,2,1,1,1,0,0
1,6078,3,2,32,1,1,0,1,1,1,0
1,7721,1,2,30,1,1,1,0,0,1,1
1,1410,4,2,35,1,1,1,1,1,1,1
0,1449,4,2,31,1,1,0,1,1,1,1
1,368,1,4,57,0,1,1,1,1,1,1
1,6260,3,3,28,0,0,0,1,1,1,0
0,7855,2,2,25,1,1,1,1,0,0,1
1,1680,3,1,35,1,1,0,1,1,1,1
0,3578,4,1,47,1,1,1,1,1,1,0
1,7174,3,3,24,1,2,1,1,0,0,1
0,2132,1,3,27,0,1,0,0,0,1,1
0,4281,2,4,23,1,1,0,1,0,0,1
0,2366,3,3,36,1,2,1,1,1,1,1
1,1835,2,2,25,1,1,1,1,0,0,1
0,3868,4,4,41,0,2,1,1,0,1,1
1,1768,4,2,24,0,0,0,1,1,1,0
0,781,4,4,63,0,1,1,1,1,1,0
1,1924,1,4,27,0,1,0,1,0,0,1
0,2121,2,2,30,1,1,0,1,1,1,0
1,701,2,2,40,1,0,0,1,1,1,1
1,639,2,2,30,1,1,0,1,1,0,0
0,1860,0,2,34,1,2,1,1,1,1,0
0,3499,2,2,29,1,1,1,1,0,0,1
1,8487,3,2,24,1,1,0,1,0,1,1
0,6887,0,3,29,1,1,1,1,1,0,0
1,7865,4,3,27,1,0,0,1,1,1,0
1,1984,2,4,47,0,1,0,1,1,1,0
1,10144,3,1,21,1,1,1,1,0,1,1
0,1240,4,2,38,1,1,1,1,0,1,1
0,8613,2,2,27,1,1,0,1,1,1,0
1,766,2,3,66,1,1,0,1,1,0,0
0,2728,3,2,35,1,1,1,1,1,1,0
1,1881,2,2,44,0,0,1,1,0,1,1
1,1530,1,2,27,1,0,0,1,1,1,1
1,4795,1,1,30,1,2,1,1,0,1,1
1,3416,2,2,27,1,2,0,1,1,1,0
1,2462,2,2,22,1,1,0,1,0,0,0
0,2288,1,4,23,1,1,1,1,0,1,1
1,3566,3,2,30,1,1,0,1,1,1,0
0,860,4,4,39,1,1,1,1,0,1,1
0,3915,3,3,51,1,1,1,1,0,1,1
0,5371,2,2,28,1,1,0,1,1,1,0
0,1582,4,4,46,1,1,0,1,1,1,0
1,1346,4,4,23,0,1,1,1,1,1,0
1,1924,2,4,40,1,1,1,0,1,1,0
1,5848,2,1,24,1,1,0,1,1,1,0
0,433,4,4,29,0,1,0,1,0,1,1
0,6967,3,1,36,0,2,1,1,1,1,0
1,1282,2,4,20,0,1,0,1,0,0,1
0,1288,4,4,48,1,1,0,0,1,1,0
1,339,4,1,45,1,0,0,1,1,1,1
1,1331,3,3,38,1,1,1,1,1,1,0
0,1898,2,2,34,1,0,0,1,1,1,0
0,2872,4,4,36,1,1,1,1,1,1,0
0,1287,1,1,30,1,1,0,1,0,1,1
1,1262,3,3,36,1,1,1,1,1,1,0
1,7308,0,4,70,0,2,1,1,1,1,0
1,909,4,4,36,1,1,0,1,1,1,0
1,2978,2,2,32,1,1,1,1,1,1,0
1,1131,2,1,33,1,1,0,1,0,0,1
1,1577,1,1,26,1,1,0,1,0,1,1
1,7057,3,4,25,0,1,1,1,0,1,1
0,1935,4,4,31,1,0,1,1,0,0,1
1,950,4,3,33,0,1,0,1,1,0,0
1,763,2,1,26,1,1,1,1,0,1,1
0,1175,0,2,34,0,2,1,1,0,0,1
1,1414,2,2,33,1,1,0,0,1,1,0
0,3414,1,4,26,1,0,0,1,1,0,0
1,7485,0,1,25,1,2,1,1,0,0,1
1,2577,2,4,42,1,1,0,1,1,1,1
0,338,4,4,52,1,1,0,1,1,1,0
1,1963,3,2,31,0,2,0,1,1,1,0
0,571,4,4,65,1,1,0,1,1,1,0
0,9572,1,1,28,1,1,0,0,1,0,1
0,4455,2,2,30,1,2,1,1,1,0,1
1,1647,2,2,40,1,1,0,1,1,0,0
0,3777,2,4,50,1,1,1,1,1,1,0
0,884,4,4,36,1,1,1,1,1,0,0
0,1360,3,2,33,1,1,0,1,1,1,0
1,7855,4,4,60,0,2,1,1,0,0,1
0,1175,0,3,68,0,0,1,1,1,1,0
1,947,3,1,20,1,1,0,1,1,0,1
1,3244,2,4,33,1,1,1,1,0,1,1
1,4591,2,3,54,1,2,1,1,1,0,0
1,3844,3,4,34,0,0,0,1,1,0,0
1,3915,2,2,36,1,1,1,1,1,0,0
1,2108,3,2,29,1,0,0,1,1,1,1
1,3031,2,4,21,0,1,0,1,1,0,0
0,1501,4,3,34,1,2,1,1,0,0,1
0,1382,2,1,28,1,1,1,1,0,1,1
1,951,1,4,27,0,1,0,1,0,0,1
1,4679,4,4,36,0,1,1,1,1,1,0
0,4297,4,3,40,1,2,1,1,1,0,1
0,936,4,2,52,1,1,1,1,1,1,0
1,1168,2,3,54,0,0,0,1,1,1,1
0,5117,3,4,26,1,1,0,1,1,1,0
1,902,3,4,21,0,1,0,1,1,0,1
0,1495,3,1,38,1,0,0,1,1,1,0
0,10623,4,4,38,1,2,1,1,1,1,0
0,1935,4,4,43,1,1,1,1,1,1,0
0,1424,3,3,26,1,1,0,1,1,1,0
1,6568,2,2,21,1,0,0,1,0,1,1
1,1413,3,2,55,1,1,0,0,1,1,0
0,3074,2,2,29,1,1,0,1,1,1,0
1,3835,4,4,45,1,0,1,1,0,1,1
1,5293,0,4,50,1,1,1,1,1,0,0
0,1908,4,2,66,1,2,1,1,1,0,0
0,1207,4,2,51,1,1,1,1,1,1,0
0,932,3,3,39,1,0,0,1,0,1,1
1,3104,3,1,31,1,1,1,1,1,1,0
1,4526,2,2,23,1,1,1,1,1,1,0
1,3021,2,2,24,0,0,0,1,1,1,1
1,1364,2,4,64,1,1,1,1,0,1,1
1,625,1,1,26,1,0,0,1,1,1,1
1,1200,2,4,23,0,1,1,1,0,1,1
1,707,2,2,30,1,1,0,1,1,1,0
0,2978,2,4,42,1,1,1,1,1,1,0
1,4657,2,2,30,1,1,1,1,1,1,0
1,2613,2,2,27,1,1,0,1,1,1,0
1,10961,3,2,27,1,1,1,1,1,0,0
1,7865,4,4,53,0,2,1,1,1,0,0
1,11054,3,2,22,0,1,0,1,1,0,0
1,3149,1,1,22,0,1,0,1,1,1,0
1,4210,2,3,29,1,1,0,1,1,0,0
1,1413,4,4,27,0,0,0,1,1,1,0
1,2141,3,1,35,1,1,0,1,1,1,0
0,866,2,4,30,1,0,0,1,1,1,1
0,1544,3,1,42,1,0,0,1,1,1,0
1,1823,0,2,30,1,2,0,1,1,0,0
1,14555,0,2,23,1,0,1,1,1,0,0
1,2767,4,2,61,0,0,0,1,1,0,1
0,1291,2,2,35,1,1,0,1,1,1,1
1,2522,4,2,39,1,1,0,1,1,1,0
1,915,4,2,29,1,1,1,1,0,0,1
1,1736,2,4,51,1,1,0,1,1,1,0
1,4605,4,4,24,0,1,0,1,0,0,0
0,1185,2,2,27,1,1,0,1,0,1,1
1,3447,2,4,35,1,0,0,1,0,1,1
1,1258,3,1,25,1,1,1,1,1,1,0
0,717,4,4,52,1,1,0,1,1,1,0
1,1204,2,1,35,0,1,0,0,1,1,0
1,1925,3,2,26,1,1,0,1,1,1,0
1,433,0,4,43,0,1,1,1,0,0,1
0,4165,3,4,39,1,0,1,1,0,1,1
1,2251,2,2,46,1,0,0,1,1,1,1
1,2150,2,2,24,1,1,0,1,0,0,1
0,4151,2,3,35,1,1,0,1,1,1,0
1,2030,3,1,24,1,1,1,1,1,1,0
0,7418,2,4,27,1,0,0,1,1,1,0
0,1449,2,2,35,1,0,0,1,1,1,0
1,2149,2,1,29,0,1,0,1,1,0,1
1,3812,1,4,23,1,2,1,1,0,1,1
0,1154,0,4,57,1,0,0,1,0,1,1
1,1657,2,2,27,1,1,0,1,1,1,0
1,1603,4,4,55,1,1,0,1,0,1,1
0,5302,4,4,36,0,2,1,1,1,1,0
0,2101,4,4,57,0,0,0,1,0,1,1
0,1231,4,4,32,1,0,0,0,1,1,0
1,802,4,3,37,1,1,0,1,0,0,0
0,6304,4,4,36,1,1,0,1,1,1,0
1,2030,1,3,47,1,1,1,1,1,1,1
1,8978,4,4,45,1,2,0,0,1,0,1
1,999,4,2,25,1,1,0,1,1,1,0
1,2662,3,3,32,1,1,0,0,1,1,0
0,1402,3,4,37,0,1,1,1,0,1,1
1,12169,0,4,36,0,2,1,1,1,1,0
1,3060,2,4,28,1,1,0,1,1,0,0
1,11998,1,1,34,1,0,1,1,1,0,1
1,2697,2,2,32,1,1,0,1,1,1,0
0,2404,2,2,26,1,1,0,1,0,1,1
1,1262,4,4,49,1,0,1,1,1,1,1
1,4611,1,4,32,1,1,0,1,0,0,1
1,1901,2,4,29,0,2,1,1,1,1,0
0,1344,4,4,23,0,1,1,1,1,1,0
1,1574,2,2,37,1,1,0,1,1,1,0
1,1445,3,4,49,1,0,0,1,1,1,0
0,2315,4,4,63,1,1,0,1,1,1,0
0,3878,1,2,34,1,1,1,1,1,1,1
1,10722,1,3,35,1,0,1,1,0,1,1
1,4788,3,3,26,1,1,0,1,1,1,0
0,7582,0,4,31,0,2,0,1,1,1,0
1,1092,2,2,49,1,1,1,1,0,1,1
0,1024,1,4,48,1,1,0,1,1,0,1
1,1076,1,2,26,1,1,1,0,1,1,1
1,1126,1,4,28,0,2,1,1,1,0,1
0,6419,1,4,44,0,2,1,1,0,1,1
0,4796,4,4,56,0,1,0,1,1,1,0
0,7629,4,2,46,1,1,0,1,1,1,1
1,9960,1,2,26,1,1,1,1,0,0,1
1,4675,1,4,20,0,1,0,1,0,1,1
1,1287,2,2,45,1,2,0,0,1,1,0
1,2515,2,4,43,1,1,1,1,1,1,0
0,2745,3,2,32,1,1,1,1,1,1,0
1,672,0,4,54,1,0,1,1,0,1,1
1,1382,2,1,42,1,1,1,1,0,0,1
0,1344,3,2,37,1,0,0,1,1,0,0
0,1038,3,3,49,1,1,1,1,1,1,0
0,10127,2,3,44,0,1,0,1,1,0,0
1,1543,2,2,33,1,1,0,1,1,1,1
1,4811,3,4,24,0,0,0,1,0,1,1
1,727,1,3,33,1,0,1,1,1,0,1
0,1237,2,4,24,1,1,0,1,0,0,1
1,2957,2,4,22,0,0,0,1,1,1,1
1,5381,0,4,40,1,0,1,1,1,1,0
1,5511,2,1,25,1,1,0,1,1,1,0
1,3749,1,4,26,1,1,0,1,0,1,1
0,685,3,3,25,1,1,0,1,1,0,1
1,1494,1,2,29,1,0,0,0,1,1,0
1,2746,4,4,31,1,1,0,1,1,0,0
1,708,2,3,38,1,0,0,1,0,1,0
1,4351,2,4,48,1,0,1,1,0,1,1
0,701,2,2,32,1,1,0,1,1,1,0
1,3577,4,4,27,1,0,0,1,0,1,1
0,4249,0,2,28,1,2,0,1,1,0,1
1,1938,1,3,32,1,1,0,1,1,0,1
1,2910,3,1,34,0,2,1,1,1,1,0
1,2659,2,2,28,1,1,0,1,1,1,0
0,1028,2,3,36,1,1,0,1,0,1,1
0,3398,3,4,39,1,2,1,0,1,1,0
0,5801,4,4,49,0,1,1,1,1,1,0
1,1525,3,3,34,1,1,1,1,0,1,1
1,4473,4,2,31,1,1,0,1,1,1,0
1,1068,4,4,28,1,1,0,1,1,1,0
0,6615,0,4,75,0,2,1,1,1,1,0
0,1864,2,2,30,1,1,0,1,0,0,1
1,7408,1,2,24,1,2,0,1,0,0,1
0,11590,2,4,24,0,0,0,1,0,0,1
1,4110,2,4,23,0,1,0,1,1,0,0
0,3384,2,4,44,0,2,1,1,1,0,1
1,4712,1,4,23,1,0,0,1,0,1,1
1,1275,2,2,24,0,1,0,1,0,0,1
1,4169,2,4,28,1,1,0,1,1,1,0
1,1521,2,2,31,1,0,0,1,1,1,1
0,5743,1,4,24,0,1,1,1,0,1,1
1,3599,3,4,26,0,0,0,1,0,1,1
1,3213,1,3,25,0,1,0,1,1,1,1
1,4439,4,1,33,1,2,0,1,1,1,0
1,1819,1,1,37,1,0,0,1,1,1,0
0,1459,2,2,43,1,0,0,1,0,1,1
0,882,1,4,47,1,0,0,1,1,1,0
1,3758,0,4,23,0,0,0,1,0,1,1
0,1743,2,2,34,1,0,0,1,1,1,0
0,1136,4,3,32,0,1,0,1,1,0,0
1,1236,1,4,23,0,0,1,1,0,1,1
1,959,2,2,29,1,1,0,0,0,0,1
0,3229,0,4,38,1,2,1,1,1,1,0
1,6199,0,2,28,0,1,1,1,1,0,0
1,727,4,4,46,0,1,1,1,1,1,0
1,4351,1,2,23,1,0,0,1,1,0,0
0,2331,4,4,49,1,1,1,1,1,1,0
0,4463,2,2,26,1,2,1,1,0,0,0
1,776,2,2,28,1,1,0,1,1,1,1
0,2406,3,4,23,0,1,0,1,0,0,1
1,1239,2,4,61,0,1,0,1,1,1,0
1,3399,4,3,37,1,2,0,1,1,1,0
0,2247,2,2,36,1,1,1,1,0,1,1
1,1766,2,2,21,0,1,0,1,1,1,1
1,2473,0,1,25,1,0,0,1,1,0,0
1,9398,3,4,36,1,1,1,1,1,1,0
0,3850,3,1,27,1,1,0,1,1,1,0
1,3650,1,4,42,0,1,0,1,0,1,1
1,3446,4,2,42,1,1,0,1,1,0,0
1,3001,3,4,40,0,1,0,1,1,1,1
1,3079,2,1,36,1,1,0,1,1,1,0
0,6070,4,4,33,1,1,1,1,1,1,0
1,2146,1,3,23,0,0,0,1,0,1,1
0,13756,4,4,63,0,1,1,1,1,1,0
1,1216,4,4,29,0,2,1,1,0,0,1
1,7685,3,4,37,0,1,0,1,0,0,1
0,2320,0,3,34,1,1,0,1,1,1,1
0,846,4,4,36,0,1,0,1,1,1,0
1,14318,4,2,57,0,2,1,1,1,0,0
0,362,2,4,52,1,0,0,1,0,1,1
1,2212,3,4,24,1,1,1,1,1,1,0
1,12976,0,4,38,0,2,1,0,0,0,1
0,1283,3,4,25,0,1,0,1,0,1,1
1,1330,1,1,26,1,1,0,1,1,1,0
0,4272,2,2,26,1,0,0,1,1,1,0
0,2238,2,1,25,1,1,0,1,0,1,1
1,1126,1,2,21,0,1,1,1,0,1,1
0,7374,0,4,40,1,2,1,1,1,1,0
0,2326,2,4,27,1,1,0,1,1,1,0
1,1449,3,2,27,1,1,0,1,0,1,1
1,1820,2,2,30,1,2,1,1,1,1,1
1,983,1,4,19,0,0,0,1,1,1,1
1,3249,1,4,39,0,2,1,1,1,1,0
0,1957,3,4,31,1,1,0,1,0,1,1
0,2406,0,3,31,1,2,0,1,1,1,0
0,11760,3,3,32,0,1,1,1,1,1,0
1,2578,0,4,55,0,2,0,1,0,1,1
0,2348,2,2,46,1,1,1,1,1,1,1
1,1223,4,1,46,0,1,0,1,1,0,1
0,1516,2,1,43,1,0,0,1,0,1,1
1,1473,1,4,57,1,1,1,1,1,1,1
1,1887,3,4,28,1,1,0,1,1,1,1
0,8648,1,2,27,1,1,0,1,1,0,0
0,802,2,2,27,1,0,0,1,1,1,0
0,2899,4,4,43,1,1,0,1,1,1,0
1,2039,0,4,22,1,1,1,1,1,0,1
0,2197,3,4,43,1,1,1,1,1,1,0
1,1053,1,2,27,1,1,0,0,1,1,1
1,3235,4,2,26,1,2,1,1,1,1,1
0,939,3,2,28,1,1,1,1,1,0,1
1,1967,4,4,20,1,1,1,1,0,1,1
1,707,3,2,35,1,2,1,1,1,1,0
0,2292,0,2,42,1,2,1,1,1,0,0
1,1597,2,2,40,0,0,0,0,1,1,0
1,1381,2,2,35,1,1,0,1,0,0,1
0,5842,4,2,35,1,1,1,1,1,1,0
1,2579,1,1,33,1,0,0,1,1,0,0
0,1858,2,2,23,0,1,1,1,1,1,1
1,2782,3,2,31,1,2,0,1,0,1,1
1,1546,2,2,33,1,1,0,1,0,0,1
1,3186,3,3,20,0,1,0,1,0,1,1
1,2028,2,2,30,1,1,0,1,1,1,0
0,958,3,3,47,1,0,0,1,1,1,0
0,1343,3,3,34,1,2,0,1,1,1,0
1,1925,4,2,25,1,1,1,1,0,0,1
1,2779,2,3,21,0,1,1,1,1,1,1
0,2743,4,2,29,1,1,0,1,1,1,0
0,1149,2,3,46,1,1,0,1,1,1,0
1,1313,4,4,20,1,1,0,1,1,1,0
1,1190,0,4,55,0,0,0,1,0,0,1
1,3448,3,4,74,1,0,0,1,1,1,0
1,11328,2,3,29,1,2,1,1,1,0,0
0,1872,0,4,36,0,2,1,1,1,1,0
0,2058,2,2,33,1,1,1,1,1,1,1
1,2136,2,2,25,1,1,0,1,1,1,0
1,1484,2,1,25,1,1,1,1,0,0,1
1,660,3,4,23,0,0,1,1,1,1,1
0,1287,4,4,37,1,1,1,1,0,1,1
0,3394,0,4,65,1,1,0,1,1,1,0
1,609,1,1,26,1,0,0,1,0,0,1
1,1884,4,4,39,1,2,1,1,1,1,0
0,1620,2,3,30,1,1,0,1,0,1,1
0,2629,2,3,29,1,2,1,1,1,1,0
1,719,4,4,41,1,0,0,1,1,0,0
0,5096,2,3,30,1,2,1,1,0,0,1
0,1244,4,4,41,1,0,0,1,0,1,1
1,1842,1,2,34,1,1,1,1,0,0,1
1,2576,2,2,35,1,1,0,1,1,1,0
1,1424,4,4,55,1,2,1,1,0,1,1
0,3758,2,2,61,1,1,0,1,1,0,1
0,11054,2,2,30,1,1,1,1,1,1,0
1,518,2,1,29,1,1,0,1,0,1,1
1,2759,4,4,34,1,1,0,1,1,1,0
1,1913,4,4,35,1,2,1,1,1,1,0
1,4817,3,3,31,1,1,1,1,1,0,0
1,2679,1,1,29,1,2,1,1,1,1,1
0,3905,2,2,36,0,1,0,1,1,1,0
1,3386,4,4,35,0,1,1,1,1,0,0
1,343,1,1,27,1,1,0,1,0,1,1
1,4594,1,2,32,1,1,1,1,1,1,0
1,3620,2,2,37,1,1,0,1,1,1,0
1,1721,1,3,36,1,1,0,1,1,1,0
1,3017,1,1,34,0,2,0,1,0,1,1
1,754,4,4,38,1,1,0,1,1,1,0
1,1950,3,1,34,1,1,1,1,1,1,0
1,2924,2,3,63,1,1,1,1,1,1,0
0,1659,1,2,29,0,0,1,1,0,0,1
0,7238,2,3,32,1,1,0,1,1,1,0
0,2764,2,4,26,1,1,1,1,0,1,1
0,4679,3,3,35,1,0,1,1,1,1,0
1,3092,1,2,22,0,1,0,1,1,0,1
1,448,1,4,23,0,1,0,1,0,0,1
1,654,2,3,28,1,0,0,1,1,0,0
1,1238,0,4,36,1,2,1,1,1,1,0
0,1245,2,2,33,1,1,0,1,1,0,1
1,3114,1,4,26,0,1,0,1,0,0,1
1,2569,2,4,24,1,1,1,1,1,1,0
1,5152,3,2,25,1,1,0,1,1,1,0
1,1037,3,4,39,1,2,0,1,1,1,0
0,1478,4,4,31,1,1,1,1,1,1,0
0,3573,2,1,29,1,0,0,1,0,1,1
1,1532,1,1,26,1,1,0,1,1,1,0
1,3622,4,4,57,0,1,1,1,0,1,1
0,960,3,2,30,1,1,0,1,1,1,1
0,343,2,4,44,0,1,1,1,1,1,0
0,1209,0,4,47,1,2,1,1,1,0,0
1,3077,2,4,52,1,1,1,1,1,1,0
1,3757,4,4,62,0,1,1,1,0,1,1
1,1418,2,2,35,0,0,0,0,1,1,0
1,3518,2,3,26,0,1,0,1,1,1,0
0,1934,4,2,26,1,1,0,1,1,1,0
1,8318,4,4,42,0,2,1,1,0,0,1
0,1237,2,1,27,1,1,0,1,0,1,1
1,368,4,1,38,1,1,0,1,1,1,0
0,2122,2,2,39,0,0,0,0,1,1,0
1,2996,2,4,20,1,1,0,1,1,0,1
1,9034,1,1,29,0,2,1,1,1,0,0
0,1585,4,3,46,1,1,0,1,1,1,0
