,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,M3Fair,RW1,RW1,RW1,RW1,RW1,RW1,RW2,RW2,RW2,RW2,RW2,RW2,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK
Domain,Version,Sensitive Feature,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD,Acc,DI,SPD,EOPD,EOD,AOD
Student,Baseline (UCI Repo),Sex,0.88478917,0.733671066,-0.199468114,-0.086629677,0.086629677,-0.083338203,0.87198794,1,1.11E-16,-0.036181534,0.036181534,-0.022787029,0.87198794,1.028576647,0.019204225,-0.034616588,0.034616588,-0.019668107,0.87198794,1,0,-0.039817897,0.039817897,-0.022268762,0.970621469,0.31,0.18,-0.02,0.02,-0.01
Student,Bias_Adjust_Flip_1 (Priv 0.3),Sex,0.83433735,1.047822773,0.025078609,-0.01049373,0.01049373,-6.69E-05,0.8245482,1,0,-0.04968652,0.04968652,-0.032446088,0.82304215,1.050184454,0.026302221,-0.036214734,0.036214734,-0.014000683,0.82756025,1,-1.11E-16,-0.042413793,0.042413793,-0.02623903,0.962711864,0.05,0.03,-0.02,0.02,0
Student,Bias_Adjust_Flip_2 (Priv 0.5),Sex,0.80421686,1.467342132,0.175008874,0.106979472,0.106979472,0.073255361,0.7801205,1,1.11E-16,-0.060293255,0.063359375,-0.061826315,0.78388554,1.051476133,0.022052741,-0.027565982,0.03640625,-0.031986116,0.7801205,1,1.11E-16,-0.049384164,0.049384164,-0.045395207,0.901694915,0.13,0.07,0,0.14,0.07
Student,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,0.8870482,0.913870977,-0.064506674,-0.041035271,0.041035271,-0.017713897,0.88554215,1,-2.22E-16,-0.014749007,0.014749007,-0.005910329,0.88328314,1.028016538,0.020146721,-0.014749007,0.022928349,0.004089671,0.88478917,1,2.22E-16,-0.014749007,0.014749007,-0.002576996,0.968361582,0.08,0.06,-0.02,0.02,0
Student,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,0.88328314,1.034004251,0.025467619,-0.050444965,0.050444965,-0.012804691,0.8802711,1,1.11E-16,-0.062503998,0.062503998,-0.035059545,0.8810241,1.024091032,0.018103347,-0.062503998,0.062503998,-0.032723096,0.8795181,1,1.11E-16,-0.062503998,0.062503998,-0.044362072,0.967231638,0.01,0.01,-0.03,0.04,0.01
Student,Genetic Algorithm Modification,Sex,0.6430723,0.577147531,-0.208599282,-0.446818182,0.526874643,-0.486846413,0.64683735,1,5.55E-17,-0.1218182,0.12181818,-0.0718015,0.6641566,1.052056703,0.017684749,-0.041818182,0.041818182,-0.005449772,0.61671686,1,-5.55E-17,-0.072727273,0.072727273,-0.045471764,0.941242938,0.6,0.18,-0.02,0.02,0
Student,Baseline (UCI Repo),Age,0.88478917,0.586404481,-0.311145253,-0.043761536,0.260342214,-0.152051875,0.87198794,1,2.22E-16,0.005555556,0.145115876,-0.06978016,0.87198794,1,-1.11E-16,0.006847545,0.14100065,-0.067076552,0.87198794,1.021847922,0.014753979,0.006847545,0.14100065,-0.067076552,0.962711864,0.41,0.31,0.01,0.01,0
Student,Bias_Adjust_Flip_1 (Priv 0.3),Age,0.83433735,0.626734692,-0.218281222,-0.046603346,0.17562935,-0.111116348,0.8245482,1,2.22E-16,0.023567783,0.093120322,-0.03477627,0.82304215,1,-1.11E-16,0.03077322,0.078361334,-0.023794057,0.82756025,0.985731737,-0.007634098,0.020347171,0.095776417,-0.037714623,0.95819209,0.4,0.23,0.01,0.01,0
Student,Bias_Adjust_Flip_2 (Priv 0.5),Age,0.80421686,0.660020071,-0.161186104,-0.068217054,0.161459072,-0.114838063,0.7801205,1,0,0.031782946,0.08364314,-0.025930097,0.78388554,1,-5.55E-17,0.014341085,0.098362517,-0.042010716,0.7801205,0.93496766,-0.028811266,0.025968992,0.103101853,-0.03856643,0.963841808,0.45,0.23,0.02,0.02,0
Student,Bias_Adjust_Flip_3 (UnderPriv 0.3),Age,0.8870482,0.67516498,-0.255522783,-0.058926757,0.240986421,-0.149956589,0.88554215,1,0,-0.008235584,0.118589043,-0.063412314,0.88328314,1,-1.11E-16,-0.008235584,0.109817387,-0.059026486,0.88478917,1.00614457,0.004456106,-0.008235584,0.111877634,-0.060056609,0.964971751,0.3,0.23,0.03,0.04,0.04
Student,Bias_Adjust_Flip_4 (UnderPriv 0.5),Age,0.88328314,0.733540267,-0.215517742,-0.060066147,0.220709322,-0.140387735,0.8802711,1,1.11E-16,-0.025952203,0.081013777,-0.05348299,0.8810241,1,-1.11E-16,-0.025952203,0.088765715,-0.057358959,0.8795181,0.993966063,-0.004579691,-0.025952203,0.073261839,-0.049607021,0.969491525,0.22,0.18,0.01,0.07,0.04
Student,Genetic Algorithm Modification,Age,0.6430723,1.433367377,0.138355031,0.240873615,0.311244352,0.276058984,0.64683735,1,-2.22E-16,0.063339208,0.063339208,0.02534357,0.6641566,1,0,0.019595502,0.019595502,0.008746308,0.61671686,0.871668489,-0.04654782,-0.10341138,0.154596802,-0.129004091,0.950282486,0.62,0.2,-0.01,0.03,0.01