,,,,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,RW,RW,RW,RW,RW,RW,RW,PR,PR,PR,PR,PR,PR,PR,DIR,DIR,DIR,DIR,DIR,DIR,DIR,EGR,EGR,EGR,EGR,EGR,EGR,EGR,ADV,ADV,ADV,ADV,ADV,ADV,ADV,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairMASK,FairC,FairC,FairC,FairC,FairC,FairC,FairC,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE,FairSMOTE
Data,Version,Sensitive Feature,Best Model,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD,Acc,F1,ROC,SPD,EOPD,EOD,AOD
Adult,"Baseline (UCI Repo, 1994 Census)",Sex,XGB,0.868656716,0.711515678,0.928009526,-0.186857836,-0.115569081,0.122483615,-0.09167778,0.867330017,0.700449326,0.924412316,-0.110014583,0.119473655,0.119473655,0.050232802,0.766390271,0.11700794,0.728537733,-0.020816106,-0.048044969,0.048044969,-0.025309335,0.8684356,0.715583174,0.92711515,-0.193529011,-0.119368258,0.119368258,-0.096008439,0.83946932,0.632218845,0.723561115,-0.121111799,-0.003663337,0.031003856,-0.017333596,0.846876728,0.652272157,0.902614231,-0.100669424,0.173781749,0.173781749,0.071372571,0.813709232,,,0.12,0.09,0.09,0.04,0.826755113,,,0.09,0.01,0.01,0,0.785295744,,,0.21,0.16,0.16,0.02
Adult,Bias_Adjust_Flip_1 (Priv 0.3),Sex,LGBM,0.890547264,0.651165665,0.924563796,-0.065679161,0.057586092,0.06085207,0.017840805,0.888778331,0.640200286,0.920952894,-0.02116879,0.192280901,0.192280901,0.099910972,0.859038143,0.480651731,0.858274512,-0.035953428,0.083841543,0.083841543,0.034294627,0.886124931,0.643598616,0.921916451,-0.076594947,0.012429218,0.028204959,-0.007887871,0.8631288,0.540801187,0.664601576,-0.037993065,0.074279148,0.074279148,0.033393546,0.868214483,0.579393084,0.892180416,0.003929052,0.269199422,0.269199422,0.143535034,0.839248203,,,0.09,0.12,0.12,0.06,0.869430625,,,0.05,0.02,0.02,0,0.807739082,,,0.18,0.18,0.18,0.03
Adult,Bias_Adjust_Flip_2 (Priv 0.5),Sex,GBM,0.913211719,0.591725948,0.915222435,-0.000426,0.112939791,0.112939791,0.057242236,0.913322278,0.589958159,0.917135221,0.01906402,0.211125726,0.211125726,0.11063315,0.886898839,0.42881072,0.855305865,0.011003914,0.169655657,0.169655657,0.085130376,0.913543394,0.593555094,0.916783107,-0.003124406,0.1063162,0.1063162,0.052854081,0.892316197,0.46306505,0.669404702,-0.016520548,0.036365471,0.036365471,0.012524708,0.896296296,0.536102868,0.897771513,-0.005975398,0.117941598,0.117941598,0.055473702,0.866003317,,,0.06,0.13,0.13,0.06,0.900718629,,,0.03,0.02,0.02,0.01,0.83880597,,,0.16,0.2,0.2,0.05
Adult,Bias_Boundary_Flip_1 (Priv),Sex,XGB,0.883803206,0.644858169,0.91226878,-0.076616129,0.022118115,0.044276318,0.003360488,0.88291874,0.645700903,0.908860939,-0.02389419,0.204402516,0.204402516,0.111503226,0.86511885,0.586720867,0.872424277,-0.091369099,-0.064904642,0.064904642,-0.046937673,0.881260365,0.649019608,0.908805191,-0.087673903,-0.00164235,0.02308687,-0.01236461,0.871310116,0.605156038,0.738555747,-0.069426917,0.0244952,0.0244952,0.00519108,0.8684356,0.584206848,0.884352044,0.001865756,0.260891707,0.260891707,0.144942281,,,,,,,,,,,,,,,,,,,,,
Adult,Bias_Adjust_Flip_3 (UnderPriv 0.3),Sex,MLP,0.821006081,0.769539739,0.907764016,0.01374245,0.057956669,0.084687854,-0.013365593,0.630735213,0,0.499912358,0,0,0,0,0.793919292,0.701282051,0.85921274,0.067871738,0.113671521,0.113671521,0.04688598,0.630735213,0,0.499912358,0,0,0,0,0.791155334,0.701532628,0.790372533,0.029558434,-0.001195905,0.009054252,-0.005125078,0.830514096,0.75915161,0.904887167,0.063184268,0.113072015,0.113072015,0.038130216,0.805859591,,,0.09,0.05,0.05,0.03,0.804643449,,,0.07,-0.04,0.04,-0.02,0.772249862,,,0.17,0.09,0.09,0
Adult,Bias_Adjust_Flip_4 (UnderPriv 0.5),Sex,LGBM,0.858485351,0.832711949,0.93686079,0.248432691,0.182874726,0.182874726,0.096795229,0.852072969,0.828285421,0.93326446,0.149129971,0.069942953,0.078181343,-0.004119195,0.683250415,0.710108267,0.821916603,0.202465993,0.073393539,0.171142148,0.122267844,0.857379768,0.833376389,0.934979671,0.217063662,0.14541515,0.14541515,0.064295186,0.756218906,0.715226656,0.766258348,0.127225065,0.044453667,0.044453667,0.019121569,0.815257048,0.78290243,0.90043536,0.194506759,0.123197,0.123197,0.061046137,0.803095633,,,0.06,0.02,0.03,0.02,0.789165285,,,0.04,-0.08,0.08,-0.04,0.770702045,,,0.15,0.05,0.09,-0.02
Adult,Bias_Boundary_Flip_2 (UnderPriv),Sex,XGB,0.873521283,0.732264909,0.924986905,-0.146859856,0.025621257,0.059410711,-0.012490236,0.869320066,0.712128592,0.922416919,-0.084995191,0.165944195,0.165944195,0.077699857,0.839800995,0.653597896,0.889216475,-0.162398395,-0.039516814,0.079362633,-0.059439724,0.871199558,0.731504955,0.924513404,-0.158464456,0.000987763,0.059400554,-0.029206395,0.835489221,0.649882353,0.73699737,-0.098456486,0.003013621,0.008215065,-0.002600722,0.841348812,0.631200206,0.898077937,-0.025449699,0.326251219,0.326251219,0.166517692,,,,,,,,,,,,,,,,,,,,,
Adult,Genetic Algorithm Modification,Sex,LGBM,0.768822554,0.841281525,0.86747493,-0.145741122,-0.092669926,0.108581656,-0.005282742,0.737755666,0.826785454,0.857405414,0.086491767,0.047784031,0.622686964,0.335235497,0.746600332,0.806091371,0.829640595,-0.243212433,-0.190054273,0.190054273,-0.070482426,0.760972913,0.838343054,0.865110952,-0.136102373,-0.088634461,0.088634461,-0.007340665,0.720066335,0.795674629,0.709479361,-0.080400249,-0.014334464,0.053846981,0.019756258,0.769264787,0.830228585,0.859010465,-0.201684398,-0.148658749,0.148658749,-0.017324407,0.860475401,,,0,0.03,0.34,0.18,0.85527916,,,0,0,0.04,0.02,0.802321725,,,0.04,-0.03,0.12,0.04
Adult,Year 2000,Sex,XGB,0.917299858,0.569591724,0.909838087,-0.094574685,-0.2098578,0.2098578,-0.119844588,0.9147,0.546035125,0.901260186,-0.052141434,-0.02288897,0.02288897,-0.013707192,0.8804,0.026058632,0.666639111,-0.003446259,-0.017563117,0.017563117,-0.00902036,0.9171,0.57377892,0.909271872,-0.095685049,-0.206226184,0.206226184,-0.118522488,0.8993,0.400238237,0.637550166,-0.028095344,0.024067976,0.024067976,0.011770333,0.9024,0.459579181,0.88498895,-0.042507253,-0.018002935,0.018002935,-0.011447883,0.8775,,,0.05,0.06,0.06,0.04,0.9024,,,0.03,-0.02,0.02,-0.01,0.8549,,,0.11,0.14,0.14,0.05
Adult,Year 2005,Sex,RF,0.869299647,0.498714338,0.857969888,-0.119844766,-0.206501407,0.206501407,-0.128229238,0.8681,0.486970051,0.85693227,-0.1036133,-0.156388648,0.156388648,-0.098482494,0.8388,0.00982801,0.577598865,-0.001343776,-0.00349925,0.00349925,-0.001875728,0.8711,0.503658067,0.859291204,-0.11385739,-0.202186785,0.202186785,-0.122565324,0.8702,0.477455717,0.68416852,-0.055120443,-0.029718955,0.029718955,-0.016850318,0.8697,0.465326221,0.865565875,-0.058024217,-0.039914739,0.039914739,-0.024086599,0.8254,,,0.09,0.08,0.08,0.04,0.8511,,,0.04,0.01,0.01,0,0.7923,,,0.12,0.09,0.09,0.01
Adult,Year 2010,Sex,MLP,0.875000158,0.559149285,0.871876211,-0.148296884,-0.24851374,0.24851374,-0.156476049,0.8579,0.296186231,0.853457014,-0.069615376,-0.187043639,0.187043639,-0.106166419,0.8438,0.076832151,0.713703919,-0.014438131,-0.039980341,0.039980341,-0.022327833,0.8579,0.296882731,0.857729176,-0.072011757,-0.203570147,0.203570147,-0.114558539,0.8682,0.469404187,0.68053144,-0.055721295,0.002307158,0.011065798,-0.00437932,0.8697,0.476496585,0.866772033,-0.069913003,-0.046997379,0.046997379,-0.033180399,0.8017,,,0.06,0.05,0.05,0.04,0.8483,,,0.03,0.03,0.03,0.02,0.7868,,,0.12,0.1,0.1,0.02
Adult,Year 2015,Sex,LGBM,0.858799737,0.520700981,0.860025357,-0.136084853,-0.221024096,0.221024096,-0.141772697,0.8545,0.493913044,0.848055711,-0.060220228,-0.0149829,0.0149829,-0.013756958,0.8243,0.037260274,0.656533899,-0.005265623,-0.01390632,0.01390632,-0.007343582,0.8586,0.516415869,0.860675428,-0.134264977,-0.221142007,0.221142007,-0.141079106,0.853,0.474248927,0.688412957,-0.053508676,-0.014605204,0.014605204,-0.011360069,0.8534,0.483802817,0.853352395,-0.057348056,-0.020511524,0.020511524,-0.015204141,0.7774,,,0.03,0.04,0.04,0.04,0.8302,,,0.04,0.03,0.03,0.01,0.7562,,,0.09,0.04,0.04,0
Adult,"Baseline (UCI Repo, 1994 Census)",Race,XGB,0.868656716,0.711515678,0.928009526,-0.085664943,-0.032080823,0.039203089,-0.02554804,0.868214483,0.710539097,0.927049258,-0.055324669,0.06436755,0.06436755,0.031295921,0.83880597,0.643869077,0.881293253,-0.084559219,-0.000261759,0.035114577,-0.017688168,0.866224433,0.707729469,0.925449371,-0.087696505,-0.026895739,0.026895739,-0.024990956,0.845550028,0.659185167,0.758806231,-0.062118022,0.040054164,0.040054164,0.013264963,0.847650636,0.663080685,0.906779464,-0.049882269,0.094041962,0.094041962,0.042592683,0.841901603,,,0.09,0.11,0.11,0.05,0.832504146,,,0.07,-0.02,0.04,-0.03,0.793034826,,,0.16,0.12,0.12,0.01
Adult,Bias_Adjust_Flip_1 (Priv 0.3),Race,GBM,0.900165838,0.661942883,0.92696246,-0.012669949,0.070938712,0.072605379,0.033857823,0.898949696,0.655614167,0.926332774,-0.006478649,0.08328213,0.08328213,0.042493778,0.872526258,0.550837554,0.871885145,-0.002114404,0.053405018,0.053405018,0.030093982,0.893090105,0.651531532,0.916827342,-0.026706501,0.018894009,0.018894009,0.004117547,0.875290216,0.564142195,0.716706447,-0.009595284,0.070263697,0.070263697,0.033058205,0.883029298,0.597718631,0.906150791,-0.014949012,0.030120328,0.030120328,0.014071792,0.849751244,,,0.04,0.12,0.12,0.05,0.870536208,,,0.04,0.06,0.06,0.02,0.797014925,,,0.12,0.13,0.13,0.01
Adult,Bias_Adjust_Flip_2 (Priv 0.5),Race,DT,0.904919845,0.565259823,0.888015578,-0.001879791,-0.003350361,0.048521516,-0.008084952,0.902819237,0.55983976,0.889894073,-0.006861387,-0.017256091,0.017256091,-0.016897382,0.89209508,0.413461539,0.854277583,0.042372771,0.188715796,0.188715796,0.100082803,0.903593145,0.561809045,0.888561738,-0.001363472,0.002375379,0.013372143,-0.005498382,0.894527363,0.432142857,0.654553262,-0.003827076,-0.001360654,0.011665568,-0.006513111,0.894195688,0.342268041,0.900985982,0.023250201,0.098630121,0.098630121,0.052145907,0.86644555,,,0.03,0.18,0.18,0.08,0.894416805,,,0.02,0.04,0.04,0.01,0.817247098,,,0.08,0.11,0.11,0.01
Adult,Bias_Boundary_Flip_1 (Priv),Race,GBM,0.882034273,0.637039316,0.90168734,-0.027557415,0.024052849,0.03019013,0.00892182,0.883139856,0.641086587,0.90118576,0.002349816,0.092371081,0.092371081,0.054655062,0.867993367,0.602794411,0.867442096,-0.019055033,0.03035151,0.03035151,0.015618683,0.874184632,0.629798308,0.896317081,-0.036850905,-0.003032254,0.011898098,-0.007465176,0.873742399,0.607560138,0.740024413,-0.016597468,0.027032769,0.027032769,0.015664067,0.871420674,0.612204068,0.884758538,-0.001006551,0.068644177,0.068644177,0.042210992,,,,,,,,,,,,,,,,,,,,,
Adult,Bias_Adjust_Flip_3 (UnderPriv 0.3),Race,MLP,0.839248203,0.736979155,0.910102029,0.143677452,0.109902954,0.109902954,0.058224897,0.323935876,0.469874296,0.676073957,0.009961384,-0.003257702,0.010451422,0.00359686,0.819679381,0.663780664,0.877713911,0.126407167,0.073565782,0.073565782,0.052741653,0.327473742,0.471089471,0.71026065,0.010594686,-0.002797932,0.009949269,0.003575669,0.829961305,0.691164659,0.784151825,0.044669447,-0.042386873,0.042386873,-0.040270979,0.843007186,0.725974527,0.910613896,0.196672845,0.194729736,0.194729736,0.119931833,0.820011056,,,0.01,0.22,0.22,0.1,0.794582642,,,0.01,0.09,0.09,0.02,0.766500829,,,0.04,0.13,0.13,0.02
Adult,Bias_Adjust_Flip_4 (UnderPriv 0.5),Race,NB,0.721614152,0.659717546,0.802708831,0.140156002,-0.091402317,0.091951595,-0.003353882,0.622443339,0.603229929,0.784831309,-0.02263024,-0.171794106,0.171794106,-0.141171891,0.806080708,0.672026926,0.860708996,0.213136801,0.046623428,0.070009535,0.058316481,0.745494749,0.668776978,0.804763432,0.161261783,-0.080424703,0.108011575,0.013793436,0.818905473,0.709574468,0.786532554,0.179521913,-0.012978608,0.025155582,0.006088487,0.843007186,0.756599246,0.912342673,0.329472005,0.178222962,0.178222962,0.13398465,0.804311774,,,0.05,0.23,0.23,0.11,0.749253731,,,0.04,0.14,0.14,0.04,0.753454947,,,0.05,0.12,0.12,0.04
Adult,Bias_Boundary_Flip_2 (UnderPriv),Race,LGBM,0.866777225,0.715721886,0.922296547,-0.068915501,-0.011746391,0.041094687,-0.026420539,0.86644555,0.713879678,0.922296192,-0.023972696,0.079602604,0.079602604,0.035192111,0.841238253,0.653642065,0.880000568,-0.06264729,-0.018167191,0.037603804,-0.027885497,0.867330017,0.721448468,0.92176045,-0.074349216,-0.025269421,0.043948182,-0.034608801,0.842896628,0.66319033,0.762421608,-0.051013083,-0.000972908,0.026373016,-0.013672962,0.849087894,0.679050082,0.90431674,-0.06727253,0.020038168,0.051216279,-0.015589056,,,,,,,,,,,,,,,,,,,,,
Adult,Genetic Algorithm Modification,Race,LGBM,0.860254284,0.924877155,0.696504416,0,0,0,0,0.860254284,0.924878165,0.687274534,0,0,0,0,0.860364843,0.924879558,0.677623977,0.001067094,0.000288479,0.011319508,0.005803994,0.860254284,0.924878165,0.696424388,0,0,0,0,0.859590934,0.924440743,0.501602309,0.000333311,-8.91E-05,0.006294383,0.003102636,0.859922609,0.924686441,0.692687295,-0.00044027,-0.00052183,0.00052183,-0.000260915,0.860696517,,,0.03,0.04,0.19,0.12,0.856163626,,,0,0,0.05,0.02,0.818794914,,,0.05,0.05,0.05,0.02
Adult,Year 2000,Race,GBM,0.917100108,0.57697313,0.910586237,-0.026644151,0.007398906,0.051475553,-0.000369804,0.9177,0.58159634,0.908972881,-0.014715288,0.052989886,0.052989886,0.026750482,0.9042,0.471302428,0.875458255,-0.023144737,-0.003376499,0.009057843,-0.006217171,0.9155,0.575590156,0.908273306,-0.020816683,-0.004708297,0.004708297,-0.002723042,0.9045,0.457694492,0.662731095,-0.013901251,-0.00030553,0.00030553,-0.000156692,0.9019,0.394070414,0.888440971,-0.010609866,0.010442862,0.010442862,0.004994928,0.9045,,,0.03,0.1,0.1,0.06,0.9064,,,0.02,-0.02,0.02,-0.02,0.8557,,,0.08,0.15,0.15,0.04
Adult,Year 2005,Race,MLP,0.873700118,0.542467386,0.874233308,-0.042299771,-0.084790177,0.091458599,-0.050213834,0.8607,0.333173767,0.847729566,-0.010951645,-0.027818572,0.027818572,-0.013150127,0.8691,0.484442694,0.846847472,-0.038276809,-0.09768341,0.09768341,-0.054984387,0.8628,0.452513967,0.851819378,-0.009222756,0.005010072,0.005010072,0.004516044,0.8715,0.497457959,0.689235424,-0.014004155,-0.002228865,0.002228865,-0.000204027,0.8722,0.484261501,0.870697928,-0.005137242,0.007723049,0.009695321,0.008709185,0.8527,,,0.02,0.17,0.17,0.1,0.8562,,,0.03,0.06,0.06,0.02,0.8001,,,0.13,0.25,0.25,0.08
Adult,Year 2010,Race,LGBM,0.876699758,0.529575578,0.87759782,-0.039672748,-0.027976891,0.043163084,-0.025256022,0.8758,0.525229358,0.876057225,-0.022478324,0.004597401,0.008863429,-0.002133014,0.8708,0.501927525,0.866075835,-0.036744942,-0.052677225,0.052677225,-0.035104932,0.8766,0.531155015,0.876224564,-0.03959257,-0.046229261,0.046229261,-0.033321194,0.871,0.500387297,0.694795223,-0.022019322,-0.007028078,0.00772308,-0.007375579,0.8755,0.512720157,0.872321076,-0.017393201,0.004959972,0.004959972,0.000587507,0.8129,,,0.03,0.11,0.11,0.06,0.8513,,,0.01,-0.03,0.03,-0.02,0.789,,,0.07,0.15,0.15,0.05
Adult,Year 2015,Race,LGBM,0.858799737,0.520700981,0.860025357,-0.022310081,-0.010586317,0.018572791,-0.010683671,0.8586,0.517076503,0.859657213,-0.007223946,0.019347769,0.019347769,0.010417926,0.857,0.493626062,0.85507363,-0.025076546,-0.030878709,0.030878709,-0.021062055,0.8583,0.519498135,0.860737131,-0.023846434,-0.017162624,0.017162624,-0.014197312,0.8581,0.500879353,0.678221073,-0.010465975,0.008256407,0.008256407,0.003626195,0.8569,0.472150498,0.85824453,-0.012027397,0.007976097,0.007976097,0.001978999,0.8001,,,0.01,0.08,0.08,0.04,0.8371,,,0.01,-0.01,0.01,-0.01,0.7582,,,0.11,0.16,0.16,0.04